Name,Focus 2010 Comfort 1.8四門經典款,Focus 2010 Comfort 1.8五門經典款,Focus 2010 Ghia 1.8四門豪華款,Focus 2010 Sports 2.0五門運動旗艦款,Focus 2010 TDCi Ghia 2.0四門豪華經典款,Focus 2010 TDCi 2.0五門運動時尚款,Focus 2010 TDCi 2.0五門運動旗艦款
新車售價,57.9萬,60.9萬,62.9萬,65.9萬,76.9萬,78.9萬,85.9萬
車身型式,四門轎車 Sedan,掀背車 Hatchback,四門轎車 Sedan,掀背車 Hatchback,四門轎車 Sedan,掀背車 Hatchback,掀背車 Hatchback
動力型式,汽油,汽油,汽油,汽油,柴油,柴油,柴油
變速系統,手自排4速,手自排4速,手自排4速,手自排4速,自手排6速雙離合,自手排6速雙離合,自手排6速雙離合
排氣量,1798cc,1798cc,1798cc,1999cc,1997cc,1997cc,1997cc
能源局公佈平均油耗,12.8km/ltr,12.8km/ltr,12.8km/ltr,11.9km/ltr,16.2km/ltr,16.2km/ltr,16.2km/ltr
燃料稅,4800元,4800元,4800元,6180元,3708元,3708元,3708元
牌照稅,7120元,7120元,7120元,11230元,11230元,11230元,11230元
車長(mm),4488mm,4336mm,4488mm,4336mm,4488mm,4336mm,4336mm
車寬(mm),1840mm,1840mm,1840mm,1840mm,1840mm,1840mm,1840mm
車高(mm),1484mm,1490mm,1484mm,1490mm,1484mm,1490mm,1490mm
軸距(mm),2640mm,2640mm,2640mm,2640mm,2640mm,2640mm,2640mm
車重(kg),1350kg,1350kg,1350kg,1350kg,1440kg,1440kg,1440kg
車門數,4門,5門,4門,5門,4門,5門,5門
乘客數,5座,5座,5座,5座,5座,5座,5座
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16,16,16
壓縮比,10.8,10.8,10.8,10.8,18,18,18
最大馬力,132hp@6000rpm,132hp@6000rpm,132hp@6000rpm,148hp@6000rpm,136hp@4000rpm,136hp@4000rpm,136hp@4000rpm
最大扭力,17.2kgm@4000rpm,17.2kgm@4000rpm,17.2kgm@4000rpm,19.4kgm@4500rpm,32.65kgm@2000rpm,32.65kgm@2000rpm,32.65kgm@2000rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/55R16,205/55R16,205/55R16,205/55R16,205/55R16,205/55R16,205/50R17
後輪尺碼,205/55R16,205/55R16,205/55R16,205/55R16,205/55R16,205/55R16,205/50R17
電動天窗,-,-,-,-,-,-,●
輪圈規格,16吋,16吋,16吋,16吋,16吋,16吋,17吋
後雨刷,-,-,-,-,-,-,●
感應式雨刷,-,-,-,-,-,-,●
後視鏡電動折疊,-,-,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●,●,●
旅程電腦,●,●,●,●,●,●,●
恆溫空調,-,-,●,-,-,-,●
後座出風口,●,●,●,●,●,●,●
車內粉塵過濾,-,-,-,-,●,-,-
前座正面氣囊,●,●,●,●,●,●,●
前座側面氣囊,-,-,●,●,●,●,●
ABS防鎖死,●,●,●,●,●,●,●
循跡系統,-,-,●,●,●,●,●
定速系統,-,-,●,-,●,●,●
倒車雷達,-,●,●,●,●,●,●
防盜系統,●,●,●,●,●,●,●
後座分離式傾倒,●,●,●,●,●,●,●
後座杯架,●,●,●,●,●,●,●
後座扶手,●,●,●,●,●,●,●
外部音源接入,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN
音響系統,MP3、CD,MP3、CD,MP3、CD,MP3、CD,MP3、CD,MP3、CD,MP3、CD
音響喇叭數量,4只,4只,6只,6只,6只,6只,6只
感應頭燈,-,-,-,-,-,-,●
主動轉向頭燈,-,-,-,-,-,-,●
前霧燈,-,-,●,●,●,●,●
後霧燈,●,●,●,●,●,●,●
