Name,Spider 2008 3.2 JTS Q4
新車售價,298萬
車身型式,敞篷車
動力型式,汽油
變速系統,自手排6速
排氣量,3195cc
燃料稅,8640元
牌照稅,28220元
車長(mm),4393mm
車寬(mm),1830mm
車高(mm),1318mm
軸距(mm),2528mm
車重(kg),1690kg
車門數,2門
乘客數,2+2座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,V型6缸
汽門數,24
壓縮比,11.25
最大馬力,260hp@6200rpm
最大扭力,32.8kgm@4500rpm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,225/50R17
後輪尺碼,225/50R17
感應式雨刷,●
後視鏡加熱/除霧,●
旅程電腦,●
Keyless免匙系統,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
後座側面氣囊,●
側面氣簾,●
膝部氣囊,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
定速系統,●
倒車雷達,●
防盜系統,●
座椅材質,皮革
前座座椅調整,●
座椅記憶功能,●
藍牙通訊,●
音響系統,MP3、CD
音響喇叭數量,8只
感應頭燈,●
前霧燈,●
後霧燈,●
