Name,CX-9 2019 Sky-G 2WD,CX-9 2019 Sky-G 2WD旗艦型,CX-9 2019 Sky-G AWD旗艦型,CX-9 2019 Sky-G AWD旗艦進化型
新車售價,149.8萬,171.8萬,179.8萬,184.9萬
車身型式,大型SUV休旅,大型SUV休旅,大型SUV休旅,大型SUV休旅
動力型式,汽油,汽油,汽油,汽油
變速系統,手自排6速,手自排6速,手自排6速,手自排6速
排氣量,2488cc,2488cc,2488cc,2488cc
能源局公佈平均油耗,11.3km/ltr,11km/ltr,10.8km/ltr,10.8km/ltr
能源效率等級,1,1,1,1
燃料稅,7200元,7200元,7200元,7200元
牌照稅,15210元,15210元,15210元,15210元
車長(mm),5075mm,5075mm,5075mm,5075mm
車寬(mm),1969mm,1969mm,1969mm,1969mm
車高(mm),1747mm,1747mm,1747mm,1747mm
軸距(mm),2930mm,2930mm,2930mm,2930mm
車重(kg),1852kg,1899kg,1966kg,1966kg
車門數,5門,5門,5門,5門
乘客數,7座,7座,7座,7座
油箱容量(L),72L,72L,74L,74L
行李容積(L),230~810L,230~810L,230~810L,230~810L
前輪距(mm),1663mm,1663mm,1663mm,1663mm
後輪距(mm),1663mm,1663mm,1663mm,1663mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16
壓縮比,10.5,10.5,10.5,10.5
最大馬力,230hp@5000rpm,230hp@5000rpm,230hp@5000rpm,230hp@5000rpm
最大扭力,42.8kgm@2000rpm,42.8kgm@2000rpm,42.8kgm@2000rpm,42.8kgm@2000rpm
缸徑(mm),89mm,89mm,89mm,89mm
衝程(mm),100mm,100mm,100mm,100mm
驅動型式,前輪驅動,前輪驅動,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿
煞車型式,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞
前輪尺碼,255/60R18,255/50R20,255/50R20,255/50R20
後輪尺碼,255/60R18,255/50R20,255/50R20,255/50R20
引擎擺放位置,前置,前置,前置,前置
電動天窗,-,●,●,●
電動開闔尾門/行李蓋,-,●,●,●
車頂行李架,○,○,○,○
輪圈規格,18吋,20吋,20吋,20吋
後雨刷,●,●,●,●
感應式雨刷,●,●,●,●
後視鏡自動防眩目,-,-,-,●
後視鏡電動折疊,●,●,●,●
後視鏡電動調整,●,●,●,●
後視鏡方向指示燈,●,●,●,●
方向盤調整,●,●,●,●
多功能方向盤,●,●,●,●
動力方向盤,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
多功能資訊幕,-,●,●,●
抬頭顯示幕,-,●,●,●
環景影像系統,-,●,●,●
Keyless免匙系統,●,●,●,●
中控鎖,●,●,●,●
衛星導航,○,○,○,○
恆溫空調,3區,3區,3區,3區
後座出風口,●,●,●,●
前座正面氣囊,●,●,●,●
前座側面氣囊,●,●,●,●
側面氣簾,●,●,●,●
胎壓偵測,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●
煞車輔助系統,EBD/SCBS,EBD/SBS,EBD/SBS,EBD/SBS
動態穩定系統,DSC,DSC,DSC,DSC
車道偏離警示,-,●,●,●
循跡系統,TCS,TCS,TCS,TCS
主動安全預防系統,-,●,●,●
斜坡起步輔助,●,●,●,●
定速系統,●,●,●,●
盲點偵測系統,●,●,●,●
駕駛警示系統,-,●,●,●
倒車雷達,前後,前後,前後,前後
倒車顯影系統,●,●,●,●
防盜系統,●,●,●,●
主動式智慧定速系統,-,●,●,●
電子手剎車,●,●,●,●
駕駛模式選擇,●,●,●,●
座椅材質,真皮,真皮,真皮,真皮
座椅高低調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,駕駛座電動,駕駛座電動,駕駛座電動,駕駛座電動
前座座椅調整,●,●,●,●
後座座椅調整,●,●,●,●
後座前後滑移,●,●,●,●
後座分離式傾倒,6/4,6/4,6/4,6/4
座椅記憶功能,-,●,●,●
第三排座椅,●,●,●,●
通風座椅,-,●,●,●
後座杯架,●,●,●,●
後座扶手,●,●,●,●
外部音源接入,●,●,●,●
多媒體系統,8吋,8吋,8吋,8吋
藍牙通訊,●,●,●,●
音響系統,●,●,●,●
音響喇叭數量,6,12,12,12
頭燈光源,LED,LED,LED,LED
感應頭燈,●,●,●,●
頭燈水準自動調整,●,●,●,●
自適應遠近光,-,●,●,●
LED日行燈,-,●,●,●
LED尾燈,●,●,●,●
前霧燈,●,●,●,●
後霧燈,●,●,●,●
