Name,CX-5 2019 SKY-G 2WD 豪華型,CX-5 2019 SKY-G 2WD HUD頂級型,CX-5 2019 SKY-G 2WD環景頂級型,CX-5 2019 SKY-G 2WD 旗艦經典型,CX-5 2019 SKY-G 2.5 2WD旗艦經典型,CX-5 2019 SKY-G 2.5 AWD旗艦進化型
新車售價,99.9萬,111.9萬,111.9萬,119.9萬,125.9萬,136.9萬
車身型式,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅
動力型式,汽油,汽油,汽油,汽油,汽油,汽油
變速系統,手自排6速,手自排6速,手自排6速,手自排6速,手自排6速,手自排6速
排氣量,1998cc,1998cc,1998cc,1998cc,2488cc,2488cc
能源局公佈平均油耗,14km/ltr,14km/ltr,14km/ltr,13.5km/ltr,13.1km/ltr,12.2km/ltr
能源效率等級,1,1,1,1,1,1
燃料稅,6180元,6180元,6180元,6180元,7200元,7200元
牌照稅,11230元,11230元,11230元,11230元,15210元,15210元
車長(mm),4550mm,4550mm,4550mm,4550mm,4550mm,4550mm
車寬(mm),1842mm,1842mm,1842mm,1842mm,1842mm,1842mm
車高(mm),1675mm,1680mm,1680mm,1680mm,1680mm,1680mm
軸距(mm),2700mm,2700mm,2700mm,2700mm,2700mm,2700mm
車重(kg),1522kg,1551kg,1551kg,1551kg,1566kg,1645kg
車門數,5門,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座,5座
油箱容量(L),56L,56L,56L,56L,56L,56L
行李容積(L),615~1620L,615~1620L,615~1620L,615~1620L,615~1620L,615~1620L
前輪距(mm),1595mm,1595mm,1595mm,1595mm,1595mm,1595mm
後輪距(mm),1595mm,1595mm,1595mm,1595mm,1595mm,1595mm
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16,16
壓縮比,13,13,13,13,13,13
最大馬力,165hp@6000rpm,165hp@6000rpm,165hp@6000rpm,165hp@6000rpm,194hp@6000rpm,194hp@6000rpm
最大扭力,21.7kgm@4000rpm,21.7kgm@4000rpm,21.7kgm@4000rpm,21.7kgm@4000rpm,26.3kgm@4000rpm,26.3kgm@4000rpm
缸徑(mm),83.5mm,83.5mm,83.5mm,83.5mm,-,-
衝程(mm),91.2mm,91.2mm,91.2mm,91.2mm,-,-
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,225/65R17,225/55R19,225/55R19,225/55R19,225/55R19,225/55R19
後輪尺碼,225/65R17,225/55R19,225/55R19,225/55R19,225/55R19,225/55R19
引擎擺放位置,前置,前置,前置,前置,前置,前置
電動天窗,-,-,-,-,-,●
運動外觀套件,○,○,○,○,○,○
電動開闔尾門/行李蓋,-,●,●,●,●,●
輪圈規格,17吋,19吋,19吋,19吋,19吋,19吋
後雨刷,●,●,●,●,●,●
感應式雨刷,●,●,●,●,●,●
後視鏡自動防眩目,-,●,●,●,●,●
後視鏡電動折疊,●,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●,●
方向盤調整,●,●,●,●,●,●
多功能方向盤,●,●,●,●,●,●
動力方向盤,●,●,●,●,●,●
旅程電腦,●,●,●,●,●,●
中央顯示幕,●,●,●,●,●,●
多功能資訊幕,●,●,●,●,●,●
抬頭顯示幕,-,●,-,●,●,●
環景影像系統,-,-,●,●,●,●
Keyless免匙系統,●,●,●,●,●,●
中控鎖,●,●,●,●,●,●
衛星導航,○,○,○,○,○,○
恆溫空調,雙區,雙區,雙區,雙區,雙區,雙區
後座出風口,●,●,●,●,●,●
前座正面氣囊,●,●,●,●,●,●
前座側面氣囊,●,●,●,●,●,●
側面氣簾,●,●,●,●,●,●
胎壓偵測,●,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●,●
煞車輔助系統,EBD/ESS,EBD/SCBS-F,EBD/SCBS-F,EBD/SCBS-F/ESS,EBD/SCBS-F/ESS,EBD/SCBS-F/ESS
動態穩定系統,DSC,DSC,DSC,DSC,DSC,DSC
車道偏離警示,-,●,●,●,●,●
循跡系統,TCS,TCS,TCS,TCS,TCS,TCS
主動安全預防系統,●,●,●,●,●,●
斜坡起步輔助,●,●,●,●,●,●
定速系統,●,●,●,●,●,●
盲點偵測系統,●,●,●,●,●,●
駕駛警示系統,-,-,-,-,-,●
倒車雷達,後,前後,前後,前後,前後,前後
倒車顯影系統,●,●,●,●,●,●
防盜系統,●,●,●,●,●,●
主動式智慧定速系統,-,-,-,●,●,●
電子手剎車,●,●,●,●,●,●
駕駛模式選擇,●,●,●,●,●,●
座椅材質,真皮,真皮,真皮,真皮,真皮,真皮
座椅高低調整,駕駛座電動,駕駛座電動,駕駛座電動,駕駛座電動,雙前座電動,雙前座電動
腰部支撐調整,駕駛座電動,駕駛座電動,駕駛座電動,駕駛座電動,駕駛座電動,駕駛座電動
前座座椅調整,●,●,●,●,●,●
後座座椅調整,●,●,●,●,●,●
後座分離式傾倒,4/2/4,4/2/4,4/2/4,4/2/4,4/2/4,4/2/4
座椅記憶功能,-,-,-,-,●,●
通風座椅,-,-,-,-,●,●
後座杯架,●,●,●,●,●,●
後座扶手,●,●,●,●,●,●
外部音源接入,●,●,●,●,●,●
多媒體系統,7吋,7吋,7吋,7吋,7吋,7吋
藍牙通訊,●,●,●,●,●,●
音響系統,●,●,●,●,●,●
音響喇叭數量,6,6,6,10,10,10
頭燈光源,LED,LED,LED,LED,LED,LED
感應頭燈,●,●,●,●,●,●
主動轉向頭燈,-,●,●,●,●,●
頭燈水準自動調整,●,●,●,●,●,●
自適應遠近光,-,●,●,●,●,●
LED日行燈,-,●,●,●,●,●
LED尾燈,-,●,●,●,●,●
前霧燈,-,●,●,●,●,●
後霧燈,●,●,●,●,●,●
