Name,2 2018 尊榮型,2 2018 頂級型
新車售價,69.9萬,74.9萬
車身型式,小型掀背車,小型掀背車
動力型式,汽油,汽油
變速系統,手自排6速,手自排6速
排氣量,1496cc,1496cc
能源局公佈平均油耗,17.4km/ltr,17.4km/ltr
能源效率等級,1,1
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),4060mm,4060mm
車寬(mm),1695mm,1695mm
車高(mm),1495mm,1520mm
軸距(mm),2570mm,2570mm
車重(kg),1049kg,1049kg
車門數,5門,5門
乘客數,5座,5座
油箱容量(L),44L,44L
行李容積(L),280L,280L
前輪距(mm),1495mm,1495mm
後輪距(mm),1485mm,1485mm
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,12,12
最大馬力,107ps@6000rpm,107ps@6000rpm
最大扭力,14.2kgm/4000rpm,14.2kgm/4000rpm
缸徑(mm),74.5mm,74.5mm
衝程(mm),85.8mm,85.8mm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂
煞車型式,前後碟煞,前後碟煞
前輪尺碼,185/65R15,185/60R16
後輪尺碼,185/65R15,185/60R16
引擎擺放位置,前置,前置
輪圈規格,15吋,16吋
後雨刷,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
Keyless免匙系統,-,●
中控鎖,●,●
衛星導航,○,○
恆溫空調,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,EBD/BAS/ESS,EBD/BAS/ESS
動態穩定系統,DSC,DSC
循跡系統,TCS,TCS
斜坡起步輔助,●,●
盲點偵測系統,●,●
倒車雷達,●,●
倒車顯影系統,●,●
防盜系統,●,●
座椅材質,織布,真皮
座椅高低調整,●,●
前座座椅調整,●,●
後座分離式傾倒,6/4,6/4
外部音源接入,●,●
多媒體系統,7吋,7吋
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,6,6
頭燈光源,鹵素,LED
頭燈水準自動調整,-,●
LED日行燈,-,●
前霧燈,-,●
後霧燈,●,●
引擎啟閉系統,●,●
