Name,6 2019 SKY-G,6 2019 SKY-G旗艦進化型
新車售價,114.9萬,123.9萬
車身型式,大型房車,大型房車
動力型式,汽油,汽油
變速系統,手自排6速,手自排6速
排氣量,1998cc,1998cc
能源局公佈平均油耗,14.8km/ltr,14.8km/ltr
能源效率等級,1,1
燃料稅,6180元,6180元
牌照稅,11230元,11230元
車長(mm),4865mm,4865mm
車寬(mm),1840mm,1840mm
車高(mm),1450mm,1450mm
軸距(mm),2830mm,2830mm
車重(kg),1521kg,1521kg
車門數,4門,4門
乘客數,5座,5座
油箱容量(L),62L,62L
行李容積(L),500L,500L
前輪距(mm),1585mm,1585mm
後輪距(mm),1575mm,1575mm
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,13:1,13:1
最大馬力,165hp@6000rpm,165hp@6000rpm
最大扭力,21.7kgm@4000rpm,21.7kgm@4000rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,225/45R19,225/45R19
後輪尺碼,225/45R19,225/45R19
引擎擺放位置,前置,前置
輪圈規格,19吋,19吋
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,-,●
方向盤調整,●,●
多功能方向盤,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
抬頭顯示幕,-,●
環景影像系統,-,●
Keyless免匙系統,●,●
中控鎖,●,●
衛星導航,○,○
恆溫空調,●,●
後座出風口,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,SCBS/EBD/ESS,SCBS/EBD/ESS
動態穩定系統,DSC,DSC
車道偏離警示,●,●
循跡系統,TCS,TCS
主動安全預防系統,●,●
斜坡起步輔助,●,●
定速系統,●,●
盲點偵測系統,●,●
駕駛警示系統,●,●
倒車雷達,●,●
倒車顯影系統,●,●
防盜系統,●,●
主動式智慧定速系統,●,●
電子手剎車,●,●
駕駛模式選擇,-,●
座椅材質,真皮,真皮
座椅高低調整,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動
前座座椅調整,●,●
後座分離式傾倒,6/4,6/4
座椅記憶功能,●,●
通風座椅,-,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,●,●
多媒體系統,8吋,8吋
藍牙通訊,●,●
音響系統,●,BOSE
音響喇叭數量,6,11
頭燈光源,LED,LED
感應頭燈,●,●
頭燈水準自動調整,●,●
自適應遠近光,●,●
LED日行燈,●,●
LED尾燈,●,●
前霧燈,●,-
後霧燈,●,●
引擎啟閉系統,●,-
