Name,CLK 2008 CLK200 K,CLK 2008 CLK280
新車售價,292萬,343萬
車身型式,雙門跑車,雙門跑車
動力型式,汽油,汽油
變速系統,手自排5速,手自排7速
排氣量,1796cc,2996cc
能源局公佈平均油耗,11km/ltr,10.4km/ltr
燃料稅,4800元,7200元
牌照稅,7120元,15210元
車長(mm),4652mm,4652mm
車寬(mm),1740mm,1740mm
車高(mm),1413mm,1413mm
軸距(mm),2715mm,2715mm
車重(kg),1550kg,1580kg
車門數,2門,2門
乘客數,4座,4座
進氣型式,機械增壓,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,V型6缸
汽門數,16,24
壓縮比,8.5,11.3
最大馬力,184hp@5500rpm,231hp@6000rpm
最大扭力,25.5kgm@2800~5000rpm,30.6kgm@2500~5000rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,多連桿,多連桿
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,225/45R17 245/40R17,225/45R17 245/40R17
後輪尺碼,225/45R17 245/40R17,225/45R17 245/40R17
電動天窗,●,●
感應式雨刷,●,●
後視鏡加熱/除霧,●,●
後視鏡方向指示燈,●,●
方向盤調整,電動,電動
旅程電腦,●,●
Keyless免匙系統,●,●
恆溫空調,●,●
後座出風口,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
循跡系統,●,●
定速系統,●,●
倒車雷達,●,●
防盜系統,●,●
座椅材質,皮革,皮革
前座座椅調整,●,●
後座分離式傾倒,●,●
座椅記憶功能,●,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,AUX-IN,AUX-IN
藍牙通訊,●,●
音響系統,MP3、CD,MP3、CD
音響喇叭數量,8只,8只
感應頭燈,●,●
前霧燈,●,●
後霧燈,●,●
