Name,SLC 2018 SLC200,SLC 2018 AMG SLC43
新車售價,299萬,376萬
車身型式,敞篷車,敞篷車
動力型式,汽油,汽油
變速系統,手自排9速,手自排9速
排氣量,1991cc,2996cc
極速(km/h),237km/h,250km/h
官方0-100km/h加速(s),6.9s,4.7s
能源局公佈平均油耗,13.9km/ltr,12.8km/ltr
能源效率等級,1,-
燃料稅,6180元,7200元
牌照稅,11230元,15210元
車長(mm),4133mm,4143mm
車寬(mm),1810mm,1810mm
車高(mm),1301mm,1303mm
軸距(mm),2430mm,2430mm
車重(kg),1480kg,1595kg
車門數,2門,2門
乘客數,2座,2座
行李容積(L),225~335L,225~335L
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,V型6缸
汽門數,16,24
最大馬力,184hp@5500rpm,367hp@5500~6000rpm
最大扭力,30.6kgm@1200~4000rpm,53kgm@2000~4200rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,多連桿,多連桿
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,225/40R18,235/40R18
後輪尺碼,245/35R18,255/35R18
引擎擺放位置,前置,前置
運動外觀套件,○,●
輪圈規格,18吋,18吋
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
Keyless免匙系統,○,●
中控鎖,●,●
恆溫空調,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
胎壓偵測,●,●
ABS防鎖死,●,●
煞車輔助系統,BAS,BAS
動態穩定系統,ESP,ESP
循跡系統,ASR,ASR
主動安全預防系統,●,●
定速系統,●,●
駕駛警示系統,●,●
倒車雷達,●,●
倒車顯影系統,●,●
防盜系統,●,●
電子懸吊,●,●
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,真皮,皮革
座椅高低調整,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動
前座座椅調整,●,●
座椅記憶功能,●,●
外部音源接入,●,●
多媒體系統,7吋,7吋
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,10,10
頭燈光源,LED,LED
感應頭燈,●,●
LED日行燈,●,●
後霧燈,●,●
引擎啟閉系統,●,●
