Name,GL-Class 2016 GL350 BlueTEC 4MATIC
新車售價,429萬
車身型式,豪華SUV休旅
動力型式,柴油
變速系統,手自排7速
排氣量,2987cc
能源局公佈平均油耗,10.2km/ltr
燃料稅,4320元
牌照稅,15210元
車長(mm),5120mm
車寬(mm),1934mm
車高(mm),1850mm
軸距(mm),3075mm
車重(kg),2455kg
車門數,5門
乘客數,7座
油箱容量(L),100L
行李容積(L),2300L
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型6缸
汽門數,24
壓縮比,15.5
最大馬力,258hp@3600rpm
最大扭力,63.2kgm@1600~2400rpm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,275/50R20
後輪尺碼,275/50R20
電動天窗,全景式
電動開闔尾門/行李蓋,●
車頂行李架,●
感應式雨刷,●
後視鏡加熱/除霧,●
後視鏡電動折疊,●
後視鏡方向指示燈,●
方向盤調整,電動
方向盤換檔,●
旅程電腦,●
中央顯示幕,●
Keyless免匙系統,●
恆溫空調,●
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
膝部氣囊,●
胎壓偵測,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
主動安全預防系統,●
陡坡緩降系統,●
定速系統,●
自動停車系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
腰部支撐調整,電動
前座座椅調整,●
後座分離式傾倒,●
座椅記憶功能,●
第三排座椅,●
後座杯架,●
後座扶手,●
外部音源接入,USB、AUX-IN
藍牙通訊,●
音響系統,MP3、DVD、CD
音響喇叭數量,8只
後座影音功能,●
頭燈光源,HID
感應頭燈,●
主動轉向頭燈,●
LED日行燈,●
LED尾燈,●
