Name,SL-Class 2017 SL400
新車售價,649萬
車身型式,敞篷車
動力型式,汽油
變速系統,手自排9速
排氣量,2996cc
極速(km/h),250km/h
官方0-100km/h加速(s),4.9s
燃料稅,7200元
牌照稅,15210元
車長(mm),4631mm
車寬(mm),1877mm
車高(mm),1314mm
軸距(mm),2585mm
車重(kg),1735kg
車門數,2門
乘客數,2座
行李容積(L),345~485L
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型6缸
汽門數,24
最大馬力,367hp@5500~6000rpm
最大扭力,51kgm@2000~4200rpm
驅動型式,後輪驅動
煞車型式,前後碟煞
前輪尺碼,255/35R19
後輪尺碼,285/30R19
運動外觀套件,●
電動開闔尾門/行李蓋,●
輪圈規格,19吋
後視鏡自動防眩目,●
後視鏡電動折疊,●
後視鏡電動調整,●
方向盤調整,●
多功能方向盤,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
Keyless免匙系統,●
中控鎖,●
衛星導航,●
恆溫空調,●
前座正面氣囊,●
前座側面氣囊,●
胎壓偵測,●
ABS防鎖死,●
煞車輔助系統,BAS
動態穩定系統,ESP
循跡系統,ASR
主動安全預防系統,●
自動停車系統,●
駕駛警示系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
電子懸吊,●
電子手剎車,●
駕駛模式選擇,●
座椅材質,真皮
座椅高低調整,雙前座電動
腰部支撐調整,雙前座電動
前座座椅調整,●
座椅記憶功能,●
加熱座椅,●
外部音源接入,●
多媒體系統,7吋
藍牙通訊,●
音響系統,●
音響喇叭數量,10
頭燈光源,LED
感應頭燈,●
LED日行燈,●
後霧燈,●
引擎啟閉系統,●
