Name,XC40 2019 T4 Momentum,XC40 2019 T4 R-Design,XC40 2019 T5 R-Design
新車售價,169.9萬,183萬,199萬
車身型式,小型SUV休旅,小型SUV休旅,小型SUV休旅
動力型式,汽油,汽油,汽油
變速系統,手自排8速,手自排8速,手自排8速
排氣量,1969cc,1969cc,1969cc
極速(km/h),210km/h,210km/h,230km/h
官方0-100km/h加速(s),8.4s,8.4s,6.4s
能源局公佈平均油耗,13.5km/ltr,13.5km/ltr,12km/ltr
能源效率等級,2,2,3
燃料稅,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元
車長(mm),4425mm,4425mm,4425mm
車寬(mm),1863mm,1863mm,1863mm
車高(mm),1658mm,1658mm,1658mm
軸距(mm),2702mm,2702mm,2702mm
車重(kg),1642kg,1642kg,1712kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),54L,54L,54L
行李容積(L),460~1336L,460~1336L,460~1336L
前輪距(mm),1601mm,1601mm,1601mm
後輪距(mm),1626mm,1626mm,1626mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,11.3,11.3,10.8
最大馬力,190hp@4700rpm,190hp@4700rpm,252hp@5500rpm
最大扭力,30.6kgm@1400~4000rpm,30.6kgm@1400~4000rpm,35.7kgm@1800~4800rpm
驅動型式,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,235/55R18,235/50R19,235/50R19
後輪尺碼,235/55R18,235/50R19,235/50R19
引擎擺放位置,前置,前置,前置
電動天窗,-,●,●
運動外觀套件,●,●,●
電動開闔尾門/行李蓋,●,●,●
車頂行李架,●,●,●
輪圈規格,18吋,19吋,19吋
後雨刷,●,●,●
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,-,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
環景影像系統,○,○,○
Keyless免匙系統,○,●,●
中控鎖,●,●,●
衛星導航,○,●,●
恆溫空調,雙區,雙區,雙區
後座出風口,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
膝部氣囊,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,BOA/BAS/EBD,BOA/BAS/EBD,BOA/BAS/EBD
動態穩定系統,ESC,ESC,ESC
車道偏離警示,●,●,●
循跡系統,●,●,●
主動安全預防系統,●,●,●
斜坡起步輔助,●,●,●
陡坡緩降系統,●,●,●
定速系統,●,●,●
自動停車系統,○,○,○
盲點偵測系統,●,●,●
駕駛警示系統,●,●,●
倒車雷達,前後,前後,前後
倒車顯影系統,●,●,●
防盜系統,●,●,●
主動式智慧定速系統,●,●,●
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,真皮,真皮,真皮
座椅高低調整,駕駛座電動,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●
後座分離式傾倒,6/4,6/4,6/4
座椅記憶功能,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,●,●,●
多媒體系統,9吋,9吋,9吋
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,8,8,8
頭燈光源,LED,LED,LED
感應頭燈,●,●,●
主動轉向頭燈,○,●,●
頭燈水準自動調整,●,●,●
自適應遠近光,●,●,●
LED日行燈,●,●,●
LED尾燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
引擎啟閉系統,●,●,●
