Name,XC90 2019 T5 Momentum,XC90 2019 D5 Momentum,XC90 2019 T5 R-Design,XC90 2019 D5 Inscription,XC90 2019 T6 Inscription,XC90 2019 T8 Inscription,XC90 2019 T8 Excellence
新車售價,283萬,293萬,333萬,350萬,372萬,385萬,470萬
車身型式,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅
動力型式,汽油,柴油,汽油,柴油,汽油,油電混合,油電混合
變速系統,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速,自排8速,自排8速
排氣量,1969cc,1969cc,1969cc,1969cc,1969cc,1969cc,1969cc
極速(km/h),215km/h,220km/h,215km/h,220km/h,230km/h,230（純電125km/h）km/h,230（純電125km/h）km/h
官方0-100km/h加速(s),7.9s,7.8s,7.9s,7.8s,-,5.6s,5.6s
能源局公佈平均油耗,11.8km/ltr,15.3km/ltr,11.8km/ltr,15.3km/ltr,10.6km/ltr,47.6km/ltr,47.6km/ltr
能源效率等級,3級,2級,3級,2級,2,1級,1級
燃料稅,6180元,3708元,6180元,3708元,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元,11230元,11230元,11230元,11230元
車長(mm),4950mm,4950mm,4950mm,4950mm,4950mm,4950mm,4950mm
車寬(mm),2008mm,2008mm,2008mm,2008mm,2008mm,2008mm,2008mm
車高(mm),1776mm,1776mm,1776mm,1776mm,1776mm,1776mm,1776mm
軸距(mm),2984mm,2984mm,2984mm,2984mm,2984mm,2984mm,2984mm
車重(kg),2040kg,2100kg,2040kg,2009kg,2100kg,2350kg,2350kg
車門數,5門,5門,5門,5門,5門,5門,5門
乘客數,7座,7座,7座,7座,7座,7座,4座
油箱容量(L),71L,71L,71L,71L,71L,70L,70L
行李容積(L),314～1868L,314~1868L,314～1868L,314~1868L,314~1868L,314~1868L,431~726L
前輪距(mm),1665mm,1665mm,1665mm,1665mm,-,1673mm,1676mm
後輪距(mm),1667mm,1667mm,1667mm,1667mm,-,1675mm,1679mm
最小離地高度(mm),238mm,238mm,238mm,238mm,-,238mm,238mm
進氣型式,渦輪增壓,雙渦輪增壓,渦輪增壓,雙渦輪增壓,雙增壓,雙增壓,雙增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16,16,16
壓縮比,10.8：1,15.8,10.8：1,15.8,10.3,10.3,10.3
最大馬力,254hp@5500rpm,235hp@4000rpm,254hp@5500rpm,235hp@4000rpm,320hp@5200rpm,320hp@5700rpm,320hp@5700rpm
最大扭力,35.7kgm@1500～4800rpm,48.9kgm@1750~2250rpm,35.7kgm@1500～4800rpm,48.9kgm@1750~2250rpm,40.8kgm@2200~5400rpm,40.8kgm@2200~5400rpm,40.8kgm@2200~5400rpm
電動機最大功率(kW),-,-,-,-,-,64.88kW(87hp)@7000rpmkW,64.88kW(87hp)@7000rpmkW
電動機最大扭力(N·m),-,-,-,-,-,240Nm(24.5kgm)@7000rpmN·m,240Nm(24.5kgm)@7000rpmN·m
電池容量(kWh),-,-,-,-,-,10.4kwh,10.4kwh
純電池里程(km),-,-,-,-,-,36.6km,36.6km
電池種類,-,-,-,-,-,鋰電池,鋰電池
驅動型式,四輪驅動,四輪驅動,四輪驅動,四輪驅動,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,四輪碟煞,前後碟煞,前後碟煞
前輪尺碼,235/55 R19,235/55R19,275/45 R20,275/45R20,275/45 R20,275/45R20,275/40R21
