Name,V50 2012 2,V50 2012 D4,V50 2012 D4 R-Design
新車售價,129萬,139萬,149萬
車身型式,Wagon旅行車,Wagon旅行車,Wagon旅行車
動力型式,汽油,柴油,柴油
變速系統,自手排6速雙離合,手自排6速,手自排6速
排氣量,1999cc,1984cc,1984cc
能源局公佈平均油耗,11.2km/ltr,15km/ltr,15km/ltr
燃料稅,6180元,3708元,3708元
牌照稅,11230元,11230元,11230元
車長(mm),4522mm,4522mm,4522mm
車寬(mm),1770mm,1770mm,1770mm
車高(mm),1499mm,1499mm,1499mm
軸距(mm),2640mm,2640mm,2640mm
車重(kg),1465kg,1592kg,1592kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
進氣型式,自然吸氣,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列5缸,直列5缸
汽門數,16,20,20
壓縮比,10.8,16.5,16.5
最大馬力,145hp@6000rpm,177hp@3500rpm,177hp@3500rpm
最大扭力,18.9kgm@4500rpm,40.8kgm@1750~2750rpm,40.8kgm@1750~2750rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/50R17,205/50R17,215/45R18
後輪尺碼,205/50R17,205/50R17,215/45R18
車頂行李架,●,●,●
感應式雨刷,●,●,●
後視鏡方向指示燈,●,●,●
旅程電腦,●,●,●
恆溫空調,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●
車道偏離警示,●,●,●
循跡系統,●,●,●
定速系統,●,●,●
倒車雷達,●,●,●
防盜系統,●,●,●
跑車式座椅,-,-,●
前座座椅調整,●,●,●
後座分離式傾倒,●,●,●
座椅記憶功能,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,AUX-IN,AUX-IN,AUX-IN
藍牙通訊,●,●,●
音響系統,MP3、CD,MP3、CD,MP3、CD
音響喇叭數量,8只,8只,8只
頭燈光源,HID,HID,HID
感應頭燈,●,●,●
LED日行燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
