Name,301 2018 Access,301 2018 Active
新車售價,66.8萬,76.8萬
車身型式,小型房車,小型房車
動力型式,汽油,汽油
變速系統,手自排6速,手自排6速
排氣量,1587cc,1587cc
能源局公佈平均油耗,15.2km/ltr,15.2km/ltr
能源效率等級,2,2
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),4442mm,4442mm
車寬(mm),1748mm,1748mm
車高(mm),1475mm,1475mm
軸距(mm),2652mm,2652mm
車重(kg),1157kg,1157kg
車門數,4門,4門
乘客數,5座,5座
油箱容量(L),50L,50L
行李容積(L),640~1332L,640~1332L
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
最大馬力,115hp@6050rpm,115hp@6050rpm
最大扭力,15.3kgm@4000rpm,15.3kgm@4000rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,"扭力樑,拖曳臂","扭力樑,拖曳臂"
煞車型式,前後碟煞,前後碟煞
前輪尺碼,185/65R15,195/55R16
後輪尺碼,185/65R15,195/55R16
引擎擺放位置,前置,前置
輪圈規格,15吋,16吋
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
方向盤調整,●,●
多功能方向盤,-,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,-,●
多功能資訊幕,-,●
中控鎖,●,●
衛星導航,-,●
恆溫空調,-,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,EBFD/EBA,EBFD/EBA
動態穩定系統,ESP,ESP
循跡系統,●,●
定速系統,-,●
倒車雷達,●,●
倒車顯影系統,-,●
防盜系統,●,●
座椅材質,織布,真皮
座椅高低調整,●,●
前座座椅調整,●,●
後座分離式傾倒,6/4,6/4
後座杯架,●,●
外部音源接入,USB/AUX-IN,USB/AUX-IN
多媒體系統,-,8吋
藍牙通訊,-,●
音響系統,CD/MP3,CD/MP3
音響喇叭數量,●,●
頭燈光源,●,●
前霧燈,●,●
後霧燈,●,●
