Name,F-Type Coupe 2018 Coupe,F-Type Coupe 2018 SVR
新車售價,379萬,860萬
車身型式,雙門跑車 Coupe,雙門跑車 Coupe
動力型式,汽油,汽油
變速系統,手自排8速,手自排8速
排氣量,2995cc,5000cc
極速(km/h),260km/h,322km/h
官方0-100km/h加速(s),5.3s,3.7s
能源局公佈平均油耗,9.5km/ltr,8.1km/ltr
能源效率等級,4,2
燃料稅,7200元,12180元
牌照稅,15210元,46170元
車長(mm),4470mm,4475mm
車寬(mm),1923mm,1923mm
車高(mm),1311mm,1311mm
軸距(mm),2622mm,2622mm
車重(kg),1577kg,1705kg
車門數,2門,2門
乘客數,2座,2座
行李容積(L),408L,408L
前輪距(mm),1597mm,1585mm
後輪距(mm),1649mm,1611mm
進氣型式,機械增壓,機械增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型6缸,V型8缸
汽門數,24,32
壓縮比,10.5,9.5
最大馬力,340hp@6500rpm,575hp@6500rpm
最大扭力,45.9kgm@3500~5000rpm,71.4kgm@3500~5000rpm
驅動型式,後輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞
前輪尺碼,245/45 R18,265/35 R20
後輪尺碼,275/40 R18,305/30 R20
引擎擺放位置,前置,前置
運動外觀套件,-,●
電動開闔尾門/行李蓋,●,●
輪圈規格,18吋,20吋
感應式雨刷,●,●
後視鏡自動防眩目,車內,車外、車內
後視鏡加熱/除霧,●,●
後視鏡記憶,-,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,電動4向,電動4向
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
Keyless免匙系統,●,●
中控鎖,●,●
衛星導航,●,●
恆溫空調,單區,雙區
車內粉塵過濾,○,●
前座正面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,DSC,DSC
循跡系統,Trac DSC,Trac DSC
盲點偵測系統,○,●
倒車雷達,●,●
倒車顯影系統,●,●
防盜系統,●,●
電子懸吊,-,●
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,麂皮+皮革,真皮
跑車式座椅,●,●
座椅高低調整,●,●
腰部支撐調整,-,●
前座座椅調整,●,●
座椅記憶功能,-,●
加熱座椅,●,●
通風座椅,●,●
外部音源接入,AUX-IN、USB,AUX-IN、USB
多媒體系統,8吋觸控螢幕,8吋觸控螢幕
藍牙通訊,●,●
音響系統,Meridian 380W,Meridian 770W
音響喇叭數量,10,12
頭燈光源,HID,LED
感應頭燈,●,●
自適應遠近光,○,●
LED日行燈,●,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,●
轉向輔助照明,○,●
