Name,XE 2018 Prestige 20T,XE 2018 R Sport 25T,XE 2018 S
新車售價,198萬,235萬,319萬
車身型式,中型房車,中型房車,中型房車
動力型式,汽油,汽油,汽油
變速系統,手自排8速,手自排8速,手自排8速
排氣量,1997cc,1997cc,2995cc
極速(km/h),238km/h,250km/h,250km/h
官方0-100km/h加速(s),7.1s,6.3s,5.0s
能源局公佈平均油耗,12.8km/ltr,13.6km/ltr,12.35km/ltr
能源效率等級,2,1,-
燃料稅,6180元,6180元,7200元
牌照稅,11230元,11230元,15210元
車長(mm),4686mm,4686mm,4686mm
車寬(mm),1967mm,1967mm,1967mm
車高(mm),1416mm,1416mm,1416mm
軸距(mm),2835mm,2835mm,2835mm
車重(kg),1540kg,1540kg,1655kg
車門數,4門,4門,4門
乘客數,5座,5座,5座
油箱容量(L),63L,63L,63L
行李容積(L),415L,415L,415L
前輪距(mm),1597mm,1602mm,1602mm
後輪距(mm),1598mm,1603mm,1603mm
進氣型式,渦輪增壓,渦輪增壓,機械增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,V型6缸
汽門數,16,16,24
壓縮比,10.5,10.5,10.5
最大馬力,200hp@5500rpm,250hp@5500rpm,380hp@6500rpm
最大扭力,32.6kgm@1200~4000rpm,37.2kgm@1200~4000rpm,45.9kgm@.3500～5000rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,225/50R17,225/45R18,225/45R18
後輪尺碼,225/50R17,245/40R18,245/40R18
引擎擺放位置,前置,前置,前置
電動天窗,全景式,全景式,全景式
運動外觀套件,-,●,-
電動開闔尾門/行李蓋,○,○,●
輪圈規格,17吋,18吋,18吋
感應式雨刷,●,●,●
後視鏡自動防眩目,車內,車內,車內
後視鏡加熱/除霧,●,●,●
後視鏡記憶,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,電動4向,電動4向,電動4向
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
抬頭顯示幕,-,-,○
環景影像系統,-,-,○
Keyless免匙系統,●,●,●
中控鎖,●,●,●
衛星導航,○,●,●
恆溫空調,雙區,雙區,雙區
後座出風口,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,ESP,ESP,DSC
車道偏離警示,-,-,●
循跡系統,Trac DSC,Trac DSC,Trac DSC
主動安全預防系統,-,-,●
斜坡起步輔助,●,●,●
定速系統,●,●,●
倒車雷達,●,●,●
倒車顯影系統,●,●,●
防盜系統,●,●,●
電子懸吊,○,○,●
電子手剎車,-,-,●
駕駛模式選擇,●,●,●
座椅材質,真皮,真皮,真皮
跑車式座椅,-,●,●
座椅高低調整,●,●,●
腰部支撐調整,電動,電動四向,電動四向
前座座椅調整,●,●,●
後座分離式傾倒,●,●,●
座椅記憶功能,●,●,●
加熱座椅,-,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN
多媒體系統,8吋觸控式音響,8吋觸控式音響,8吋觸控式音響
藍牙通訊,●,●,●
音響系統,Jaguar Sound System,Meridian 380W,Meridian 380W
音響喇叭數量,6,11,11
頭燈光源,HID,HID,HID
感應頭燈,●,●,-
主動轉向頭燈,○,○,●
頭燈水準自動調整,●,●,●
自適應遠近光,○,○,●
LED日行燈,●,●,●
LED尾燈,-,●,●
前霧燈,-,-,●
後霧燈,-,-,●
引擎啟閉系統,-,-,自動
