Name,F-Pace 2018 Prestige 25t RWD,F-Pace 2018 Prestige 20d AWD,F-Pace 2018 R-Sport 25t RWD,F-Pace 2018 Prestige 35t AWD,F-Pace 2018 R-Sport 35t AWD,F-Pace 2018 S
新車售價,256萬,266萬,286萬,313萬,333萬,370萬
車身型式,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅
動力型式,汽油,柴油,汽油,汽油,汽油,汽油
變速系統,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速
排氣量,1997cc,1999cc,1997cc,2995cc,2995cc,2995cc
極速(km/h),217km/h,208km/h,217km/h,250km/h,250km/h,250km/h
官方0-100km/h加速(s),6.8s,8.7s,6.8s,5.8s,5.8s,5.5s
能源局公佈平均油耗,11.80km/ltr,17.10km/ltr,11.80km/ltr,10.20km/ltr,10.20km/ltr,10.00km/ltr
能源效率等級,3,1,3,3,3,3
燃料稅,6180元,3708元,6180元,7200元,7200元,7200元
牌照稅,11230元,11230元,11230元,15210元,15210元,15210元
車長(mm),4746mm,4746mm,4746mm,4746mm,4746mm,4746mm
車寬(mm),2175(後視鏡摺疊後2070)mm,2175(後視鏡摺疊後2070)mm,2175(後視鏡摺疊後2070)mm,2175(後視鏡摺疊後2070)mm,2175(後視鏡摺疊後2070)mm,2175(後視鏡摺疊後2070)mm
車高(mm),1651mm,1651mm,1651mm,1651mm,1651mm,1651mm
軸距(mm),2874mm,2874mm,2874mm,2874mm,2874mm,2874mm
車重(kg),1710kg,1775kg,1710kg,1820kg,1820kg,1861kg
車門數,5門,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座,5座
行李容積(L),508L,508L,508L,508L,508L,508L
前輪距(mm),1641mm,1641mm,1641mm,1641mm,1641mm,1641mm
後輪距(mm),1654mm,1654mm,1654mm,1654mm,1654mm,1654mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,機械增壓,機械增壓,機械增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,V型6缸,V型6缸,V型6缸
汽門數,16,16,16,24,24,24
最大馬力,250hp@5500rpm,180hp@4000rpm,250hp@5500rpm,340hp@6500rpm,340hp@6500rpm,380hp@6500rpm
最大扭力,37.2kgm@1200~4500rpm,43.85kgm@1200~4500rpm,37.2kgm@1200~4500rpm,45.9kgm@4500rpm,45.9kgm@4500rpm,45.9kgm@4500rpm
驅動型式,後輪驅動,四輪驅動,後輪驅動,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,255/60 R18,255/60 R18,255 / 55 R19,255/60 R18,255 / 55 R19,255/50 R20
後輪尺碼,255/60 R18,255/60 R18,255 / 55 R19,255/60 R18,255 / 55 R19,255/50 R20
引擎擺放位置,前置,前置,前置,前置,前置,前置
電動天窗,●,●,●,●,●,●
運動外觀套件,-,-,●,-,●,●
電動開闔尾門/行李蓋,●,●,●,●,●,●
輪圈規格,18吋,18吋,19吋,18吋,19吋,20吋
後雨刷,●,●,●,●,●,●
感應式雨刷,●,●,●,●,●,●
後視鏡自動防眩目,車內,車內,車外、車內,車內,車外、車內,車外、車內
後視鏡加熱/除霧,●,●,●,●,●,●
後視鏡記憶,●,●,●,●,●,●
後視鏡電動折疊,標配,標配,標配,標配,標配,標配
後視鏡電動調整,●,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●,●
方向盤調整,電動4向,電動4向,電動4向,電動4向,電動4向,電動4向
多功能方向盤,●,●,●,●,●,●
方向盤換檔,●,●,●,●,●,●
動力方向盤,●,●,●,●,●,●
旅程電腦,●,●,●,●,●,●
中央顯示幕,●,●,●,●,●,●
多功能資訊幕,●,●,●,●,●,●
Keyless免匙系統,●,●,●,●,●,●
中控鎖,●,●,●,●,●,●
衛星導航,●,●,●,●,●,●
恆溫空調,雙區,雙區,雙區,雙區,雙區,雙區
後座出風口,●,●,●,●,●,●
前座正面氣囊,●,●,●,●,●,●
前座側面氣囊,●,●,●,●,●,●
後座側面氣囊,●,●,●,●,●,●
側面氣簾,●,●,●,●,●,●
胎壓偵測,●,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISOFIX
ABS防鎖死,●,●,●,●,●,●
煞車輔助系統,EBD,EBD,EBD,EBD,EBD,EBD
動態穩定系統,DSC,DSC,DSC,DSC,DSC,DSC
循跡系統,Trac DSC,Trac DSC,Trac DSC,Trac DSC,Trac DSC,Trac DSC
斜坡起步輔助,●,●,●,●,●,●
陡坡緩降系統,●,●,●,●,●,●
定速系統,●,●,●,●,●,●
盲點偵測系統,-,-,-,○,○,●
倒車雷達,標配,標配,標配,標配,標配,標配
倒車顯影系統,●,●,●,●,●,●
防盜系統,●,●,●,●,●,●
電子懸吊,-,-,-,-,-,●
電子手剎車,●,●,●,●,●,●
駕駛模式選擇,●,●,●,●,●,●
座椅材質,真皮,真皮,真皮,真皮,真皮,真皮
跑車式座椅,-,-,●,-,●,●
座椅高低調整,●,●,●,●,電動4向,●
腰部支撐調整,-,-,-,電動4向,●,4向
前座座椅調整,●,●,●,●,●,●
後座座椅調整,-,○,○,○,○,○
後座前後滑移,○,-,-,-,-,-
後座分離式傾倒,標配,標配,標配,標配,標配,標配
座椅記憶功能,●,●,●,●,●,●
加熱座椅,●,●,●,●,●,●
後座杯架,●,●,●,●,●,●
後座扶手,●,●,●,●,●,●
外部音源接入,"iPhone, USB, Aux-in","iPhone, USB, Aux-in","USB, HDMI","USB, HDMI","USB, HDMI","USB, HDMI"
多媒體系統,8吋觸控螢幕,8吋觸控螢幕,10.2吋觸控螢幕,10.2吋觸控螢幕,10.2吋觸控螢幕,10.2吋觸控螢幕
藍牙通訊,●,●,●,●,●,●
音響系統,Jaguar Sound,Jaguar Sound,Meridian 380W,Meridian 380W,Meridian 380W,Meridian 380W
音響喇叭數量,6,6,11,11,11,11
頭燈光源,HID,HID,HID,HID,HID,LED
感應頭燈,●,●,●,●,●,●
LED日行燈,●,●,●,●,●,●
LED尾燈,●,●,●,●,●,●
前霧燈,●,●,●,●,●,●
後霧燈,●,●,●,●,●,●
引擎啟閉系統,●,●,●,●,●,●
