Name,Phaeton 2016 3.0 TDI LWB
新車售價,279萬
車身型式,豪華大型房車
動力型式,柴油
變速系統,手自排6速
排氣量,2967cc
極速(km/h),237km/h
官方0-100km/h加速(s),8.6s
能源局公佈平均油耗,11.6km/ltr
能源效率等級,2
燃料稅,4320元
牌照稅,15210元
車長(mm),5179mm
車寬(mm),1903mm
車高(mm),1450mm
軸距(mm),3001mm
車重(kg),2240kg
車門數,4門
乘客數,5座
油箱容量(L),90L
行李容積(L),500L
前輪距(mm),1630mm
後輪距(mm),1617mm
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型6缸
汽門數,24
壓縮比,16.8
最大馬力,240 bhp/4000 rpm
最大扭力,51kgm/1500~3000 rpm
缸徑(mm),83mm
衝程(mm),91.4mm
驅動型式,四輪驅動
前輪懸吊,多連桿
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,225/45R 18
後輪尺碼,225/45R 18
備胎規格,同尺寸
電動天窗,●
輪圈規格,18吋
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡記憶,●
後視鏡電動折疊,●
後視鏡電動調整,●
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
多功能資訊幕,●
Keyless免匙系統,●
中控鎖,●
恆溫空調,四區
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,EBD/BAS
動態穩定系統,ESP
循跡系統,ASR/EBC
定速系統,●
倒車雷達,前後
倒車顯影系統,●
防盜系統,●
氣壓懸吊,●
電子差速器,●
座椅材質,真皮
腰部支撐調整,雙前座電動
座椅記憶功能,●
加熱座椅,●
後座杯架,●
後座扶手,●
音響系統,RCD810
音響喇叭數量,10
頭燈光源,HID
感應頭燈,●
自適應遠近光,●
LED日行燈,●
前霧燈,●
後霧燈,●
