Name,Caddy 2018 Van 1.2 TSI,Caddy 2018 Maxi Van 1.4 TSI,Caddy 2018 Maxi 1.4 TSI,Caddy 2018 Maxi 2.0 TDI,Caddy 2018 Maxi 2.0 TDI 4Motion
新車售價,65.8萬,75.6萬,113萬,123萬,149.8萬
車身型式,高頂休旅車 Van,高頂休旅車 Van,MPV休旅,MPV休旅,MPV休旅
動力型式,汽油,汽油,汽油,柴油,柴油
變速系統,手排5速,手排6速,自手排7速,自手排6速,自手排6速
排氣量,1197cc,1395cc,1395cc,1968cc,1968cc
極速(km/h),157km/h,185km/h,183km/h,170km/h,189km/h
官方0-100km/h加速(s),13.6s,10.8s,11.3s,13.4s,10.5s
能源局公佈平均油耗,13.7km/ltr,15.0km/ltr,15km/ltr,-,-
能源效率等級,-,1,1,-,-
燃料稅,4320元,4800元,4800元,3708元,3708元
牌照稅,4320元,7120元,7120元,11230元,11230元
車長(mm),4408mm,4878mm,4878mm,4878mm,4878mm
車寬(mm),1793mm,1793mm,1793mm,1793mm,1793mm
車高(mm),1823mm,1836mm,1868mm,1868mm,1899mm
軸距(mm),2682mm,3006mm,3006mm,3006mm,3006mm
車重(kg),1272kg,1395kg,1474kg,1554kg,1554kg
車門數,4門,4門,5門,5門,5門
乘客數,2座,2座,7座,7座,7座
油箱容量(L),55L,55L,55L,55L,55L
行李容積(L),-,-,530~3880L,530~3880L,530~3880L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16
最大馬力,84hp@4300~5300rpm,125hp@5000~6000rpm,125hp@5000~6000rpm,102hp@2900~4000rpm,150hp@3500~4000rpm
最大扭力,16.3kgm@1400~3500rpm,22.4kgm@1500~3500rpm,22.4kgm@1500~3500rpm,25.5kgm@1300~2800rpm,34.7kgm@1750~3000rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,葉片彈簧,葉片彈簧,葉片彈簧,葉片彈簧,葉片彈簧
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,195/65R15,205/55R16,205/55 R16,205/55 R16,205/55 R16
後輪尺碼,195/65R15,205/55R16,205/55 R16,205/55 R16,205/55 R16
引擎擺放位置,前置,前置,前置,前置,前置
側滑門,●,●,●,●,●
車頂行李架,●,●,●,●,●
輪圈規格,15吋,16吋,16吋,16吋,16吋
後雨刷,●,●,●,●,●
感應式雨刷,●,●,●,●,●
後視鏡自動防眩目,●,●,●,●,●
後視鏡加熱/除霧,●,●,●,●,●
後視鏡電動折疊,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●
方向盤調整,●,●,●,●,●
動力方向盤,●,●,●,●,●
旅程電腦,●,●,●,●,●
中央顯示幕,●,●,●,●,●
多功能資訊幕,●,●,●,●,●
中控鎖,●,●,●,●,●
恆溫空調,雙區,雙區,雙區,雙區,雙區
後座出風口,●,●,●,●,-
車內粉塵過濾,●,●,●,●,●
前座正面氣囊,●,●,●,●,●
前座側面氣囊,-,●,●,●,●
側面氣簾,-,●,●,●,●
胎壓偵測,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●
煞車輔助系統,EBD/MCB,EBD/MCB,EBD/MCB,EBD/MCB,EBD/MCB
動態穩定系統,ESP,ESP,ESP,ESP,ESP
循跡系統,ASR,ASR,ASR,ASR,ASR
斜坡起步輔助,●,●,●,●,●
定速系統,●,●,●,●,●
駕駛警示系統,○,○,○,○,○
倒車雷達,○,○,○,○,●
倒車顯影系統,○,○,○,○,●
防盜系統,●,●,●,●,●
電子差速器,●,●,●,●,●
座椅材質,織布,皮革,皮革,皮革,皮革
座椅高低調整,雙前座,雙前座電動,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,-,雙前座電動,雙前座電動,雙前座電動,雙前座電動
第三排座椅,-,-,●,●,●
後座杯架,-,-,●,●,●
外部音源接入,●,●,●,●,●
藍牙通訊,●,●,●,●,●
音響系統,●,●,●,●,●
音響喇叭數量,6,6,6,6,6
頭燈光源,鹵素,鹵素,鹵素,鹵素,HID
LED日行燈,-,-,-,-,●
前霧燈,●,●,●,●,●
後霧燈,●,●,●,●,●
引擎啟閉系統,●,●,●,-,-
