Name,Caravelle 2018 LWB 2.0TDI 75Kw,Caravelle 2018 LWB 2.0TDI 110Kw (6MT),Caravelle 2018 LWB 2.0TDI 110Kw,Caravelle 2018 2.0TDI 150Kw,Caravelle 2018 LWB 2.0TDI 150Kw,Caravelle 2018 LWB 2.0TDI 150Kw4MOTION
新車售價,140.3萬,150萬,168.8萬,189.8萬,189.3萬,214.8萬
車身型式,MPV休旅,MPV休旅,MPV休旅,MPV休旅,MPV休旅,MPV休旅
動力型式,柴油,柴油,柴油,柴油,柴油,柴油
變速系統,手排5速,手排6速,自手排7速,自手排7速雙離合,自手排7速,自手排7速
排氣量,1968cc,1968cc,1968cc,1968cc,1968cc,1968cc
極速(km/h),157km/h,182km/h,181km/h,-,203km/h,199km/h
官方0-100km/h加速(s),16.4s,11.9s,12s,-,9.1s,9.6s
能源局公佈平均油耗,-,-,-,14.8km/ltr,-,-
能源效率等級,-,-,-,1,-,-
燃料稅,3708元,3708元,3708元,3708元,3708元,3708元
牌照稅,11230元,11230元,11230元,11230元,11230元,11230元
車長(mm),5304mm,5304mm,5304mm,4904mm,5304mm,5304mm
車寬(mm),2297mm,1904mm,1904mm,2297mm,1904mm,1904mm
車高(mm),1990mm,1990mm,1990mm,1970mm,1990mm,1990mm
軸距(mm),3400mm,3400mm,3400mm,3000mm,3400mm,3400mm
車重(kg),1859kg,1930kg,1954kg,1892kg,2002kg,2015kg
車門數,4門,4門,4門,4門,4門,4門
乘客數,9座,9座,9座,8座,9座,9座
油箱容量(L),70L,70L,70L,70L,70L,70L
前輪距(mm),-,-,-,908mm,-,-
後輪距(mm),-,-,-,993mm,-,-
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16,16
壓縮比,16.5,16.5,16.5,16.5,16.5,16.5
最大馬力,102hp@3000~3750rpm,150hp@3500~4000rpm,150hp@3500~4000rpm,204hp@4000rpm,204hp@4000rpm,204hp@4000rpm
最大扭力,25.5kgm@1500~2750rpm,34.7kgm@1750~3000rpm,34.7kgm@1750~3000rpm,45.9kgm@1400~2400rpm,45.9kgm@1400~2400rpm,45.9kgm@1400~2400rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂,拖曳臂,拖曳臂,拖曳臂,拖曳臂
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,215/65R16,215/65R16,215/65R16,215/65R16,235/55R17,235/55R17
後輪尺碼,215/65R16,215/65R16,215/65R16,215/65R16,235/55R17,235/55R17
引擎擺放位置,前置,前置,前置,前置,前置,前置
側滑門,●,●,手動,●,●,●
輪圈規格,16吋,16吋,16吋,16吋,17吋,17吋
後雨刷,●,●,●,-,●,●
感應式雨刷,-,-,●,-,●,●
後視鏡自動防眩目,-,-,●,-,●,●
後視鏡加熱/除霧,●,●,●,-,●,●
後視鏡電動折疊,-,●,●,○,●,●
後視鏡電動調整,●,●,●,●,●,●
方向盤調整,●,●,●,手動4向,●,●
多功能方向盤,-,-,-,●,●,●
動力方向盤,●,●,●,●,●,●
旅程電腦,●,●,●,●,●,●
中控鎖,●,●,●,●,●,●
恆溫空調,三區,三區,三區,三區,三區,三區
後座出風口,●,●,●,●,●,●
車內粉塵過濾,●,●,●,-,●,-
前座正面氣囊,●,●,●,●,●,●
前座側面氣囊,●,●,●,●,●,●
胎壓偵測,●,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●,●
煞車輔助系統,EBD/MCB,EBD/MCB,EBD/MCB,EBD/MCB,EBD/MCB,EBD/MCB
動態穩定系統,ESC,ESC,ESC,ESC,ESC,ESC
循跡系統,ASR,ASR,ASR,●,ASR,ASR
斜坡起步輔助,●,●,●,●,●,●
定速系統,-,○,○,○,●,●
倒車雷達,後,●,●,●,●,●
倒車顯影系統,-,-,-,○,○,○
防盜系統,●,●,●,●,-,●
座椅材質,皮革,皮革,皮革,皮革,皮革,皮革
腰部支撐調整,雙前座手動,雙前座手動,雙前座手動,雙前座手動,雙前座手動,雙前座手動
後座座椅調整,●,●,●,-,●,●
後座分離式傾倒,●,●,●,-,●,●
第三排座椅,-,-,●,●,●,-
後座杯架,●,●,●,●,●,●
外部音源接入,●,●,●,USB/AUX-IN,●,●
多媒體系統,5吋,6.5吋,6.5吋,-,6.5吋,6.5吋
藍牙通訊,●,●,●,●,●,●
音響系統,●,●,●,MP3/CD,●,●
音響喇叭數量,4,4,4,4,4,6
頭燈光源,鹵素,鹵素,鹵素,-,LED,LED
感應頭燈,-,●,●,○,●,●
主動轉向頭燈,-,-,-,-,●,-
LED日行燈,-,-,-,-,●,●
LED尾燈,-,-,-,-,●,●
前霧燈,-,●,●,●,●,●
後霧燈,●,●,●,-,-,●
轉向輔助照明,-,●,●,-,●,●
低滾動阻力輪胎,-,●,-,-,●,●
車輛動能回收系統,●,●,●,-,●,●
引擎啟閉系統,●,●,●,-,●,●
