Name,Kombi 2016 2.0 TDI
新車售價,132.8萬
車身型式,MPV休旅
動力型式,柴油
變速系統,手排5速
排氣量,1968cc
能源局公佈平均油耗,14.3km/ltr
能源效率等級,1
燃料稅,3708元
牌照稅,11230元
車長(mm),4904mm
車寬(mm),2297mm
車高(mm),1990mm
軸距(mm),3000mm
車重(kg),1797kg
車門數,5門
乘客數,9座
油箱容量(L),70L
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,16.5
最大馬力,102hp@3000~3750rpm
最大扭力,25.5kgm@1500~2750rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,拖曳臂
煞車型式,前後碟煞
前輪尺碼,215/65R16
後輪尺碼,215/65R16
側滑門,手動
輪圈規格,16吋
後視鏡電動調整,●
動力方向盤,●
旅程電腦,●
中控鎖,●
後座出風口,●
前座正面氣囊,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,EBD/MCB
動態穩定系統,ESC
循跡系統,●
斜坡起步輔助,●
倒車雷達,●
防盜系統,●
座椅材質,皮革
腰部支撐調整,雙前座手動
第三排座椅,●
外部音源接入,USB/AUX-IN
音響系統,MP3/CD
音響喇叭數量,2
後霧燈,●
