Name,Touran 2019 280 TSI Trendline,Touran 2019 280 TSI Comfortline,Touran 2019 280 TSI R-line,Touran 2019 330 TDI R-Line
新車售價,109.8萬,119.8萬,137.8萬,142.8萬
車身型式,MPV休旅,MPV休旅,MPV休旅,MPV休旅
動力型式,汽油,汽油,汽油,柴油
變速系統,自手排7速,自手排7速,自手排7速,自手排6速
排氣量,1395cc,1395cc,1395cc,1968cc
極速(km/h),209km/h,209km/h,209km/h,208km/h
官方0-100km/h加速(s),8.9s,8.9s,8.9s,9.3s
能源局公佈平均油耗,15.9km/ltr,15.9km/ltr,15.9km/ltr,17.28km/ltr
能源效率等級,1,1,1,-
燃料稅,4800元,4800元,4800元,3708元
牌照稅,7120元,7120元,7120元,11230元
車長(mm),4527mm,4527mm,4527mm,4527mm
車寬(mm),1829mm,1829mm,1829mm,1829mm
車高(mm),1659mm,1659mm,1659mm,1659mm
軸距(mm),2791mm,2791mm,2791mm,2791mm
車重(kg),1530kg,1570kg,1580kg,1685kg
車門數,5門,5門,5門,5門
乘客數,7座,7座,7座,7座
油箱容量(L),58L,58L,58L,58L
行李容積(L),137~1857L,137~1857L,137~1857L,137~1857L
前輪距(mm),1569mm,1569mm,1569mm,1569mm
後輪距(mm),1542mm,1542mm,1542mm,1542mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16
最大馬力,150hp@5000~6000rpm,150hp@5000~6000rpm,150hp@5000~6000rpm,150hp@3500~4000rpm
最大扭力,25.5kgm@1500~3000rpm,25.5kgm@1500~3000rpm,25.5kgm@1500~3000rpm,34.7kgm@1750~3000rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,215/55R17,215/55R17,225/45R18,225/45R18
後輪尺碼,215/55R17,215/55R17,225/45R18,225/45R18
引擎擺放位置,前置,前置,前置,前置
電動天窗,-,○,●,●
運動外觀套件,-,-,●,●
電動開闔尾門/行李蓋,○,●,●,●
車頂行李架,●,●,●,●
輪圈規格,17吋,17吋,18吋,18吋
後雨刷,●,●,●,●
感應式雨刷,●,●,●,●
後視鏡自動防眩目,●,●,●,●
後視鏡加熱/除霧,●,●,●,●
後視鏡電動折疊,●,●,●,●
後視鏡電動調整,●,●,●,●
後視鏡方向指示燈,●,●,●,●
方向盤調整,●,●,●,●
多功能方向盤,●,●,●,●
動力方向盤,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
多功能資訊幕,●,●,●,●
Keyless免匙系統,●,●,●,●
中控鎖,●,●,●,●
衛星導航,-,-,●,●
恆溫空調,三區,三區,三區,三區
後座出風口,●,●,●,●
車內粉塵過濾,●,●,●,●
前座正面氣囊,●,●,●,●
前座側面氣囊,●,●,●,●
後座側面氣囊,●,●,●,●
側面氣簾,●,●,●,●
膝部氣囊,●,●,●,●
胎壓偵測,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●
煞車輔助系統,EBD/MCB/MCB,EBD/MCB/MCB,EBD/MCB/MCB,EBD/MCB/MCB
動態穩定系統,ESP,ESP,ESP,ESP
循跡系統,ASR,ASR,ASR,ASR
主動安全預防系統,●,●,●,●
斜坡起步輔助,●,●,●,●
定速系統,●,●,●,●
自動停車系統,-,-,●,●
駕駛警示系統,-,-,●,●
倒車雷達,●,●,●,●
倒車顯影系統,●,●,●,●
防盜系統,●,●,●,●
主動式智慧定速系統,●,●,●,●
電子差速器,●,●,●,●
電子手剎車,●,●,●,●
座椅材質,織布,真皮,真皮,真皮
座椅高低調整,●,駕駛座電動,雙前座電動,雙前座電動
腰部支撐調整,●,駕駛座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●,●
後座座椅調整,●,●,●,●
後座前後滑移,●,●,●,●
後座分離式傾倒,●,●,●,●
第三排座椅,●,●,●,●
加熱座椅,-,●,●,●
後座杯架,●,●,●,●
外部音源接入,USB/AUX-IN,USB/AUX-IN,USB/AUX-IN,USB/AUX-IN
多媒體系統,8吋,8吋,9.2吋,9.2吋
藍牙通訊,●,●,●,●
音響系統,●,●,●,●
音響喇叭數量,8,8,8,8
頭燈光源,鹵素,LED,LED,LED
感應頭燈,●,●,●,●
頭燈水準自動調整,●,●,●,●
自適應遠近光,-,●,●,●
LED日行燈,-,●,●,●
LED尾燈,●,●,●,●
前霧燈,●,●,●,●
後霧燈,●,●,●,●
轉向輔助照明,-,●,●,●
車輛動能回收系統,●,●,●,●
引擎啟閉系統,●,●,●,●
