Name,9-5 SportCombi 2009 Linear 2.0LPT
新車售價,198萬
車身型式,Wagon旅行車
動力型式,汽油
變速系統,手自排5速
排氣量,1985cc
能源局公佈平均油耗,9.4km/ltr
燃料稅,6180元
牌照稅,11230元
車長(mm),4841mm
車寬(mm),1792mm
車高(mm),1503mm
軸距(mm),2703mm
車重(kg),1631kg
車門數,5門
乘客數,5座
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,8.8
最大馬力,210hp@2100~4200rpm
最大扭力,32.6kgm@2100~4200rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,215/55R16
後輪尺碼,215/55R16
電動天窗,●
感應式雨刷,●
後視鏡加熱/除霧,●
方向盤調整,電動
方向盤換檔,●
旅程電腦,●
Keyless免匙系統,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
胎壓偵測,●
ABS防鎖死,●
循跡系統,●
定速系統,●
倒車雷達,●
防盜系統,●
座椅材質,皮革
前座座椅調整,●
座椅記憶功能,●
後座杯架,●
外部音源接入,AUX-IN
藍牙通訊,●
音響系統,MP3、CD
音響喇叭數量,7只
頭燈光源,HID
LED尾燈,●
前霧燈,●
後霧燈,●
