Name,Veloster 2018 旗艦型
新車售價,117.9萬
車身型式,雙門跑車
動力型式,汽油
變速系統,自手排7速雙離合
排氣量,1591cc
能源局公佈平均油耗,13.5km/ltr
燃料稅,4800元
牌照稅,7120元
車長(mm),4250mm
車寬(mm),1805mm
車高(mm),1430mm
軸距(mm),2650mm
車重(kg),1348kg
車門數,3門
乘客數,4座
油箱容量(L),50L
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,9.5
最大馬力,186hp@5500rpm
最大扭力,27.0kgm@1500~4500rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,扭力樑
煞車型式,前後碟煞
前輪尺碼,225/40R18
後輪尺碼,225/40R18
引擎擺放位置,前置
電動天窗,全景式
後視鏡自動防眩目,車內
後視鏡加熱/除霧,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,手動4向
多功能方向盤,●
方向盤換檔,●
旅程電腦,●
中央顯示幕,●
Keyless免匙系統,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,ESC
循跡系統,●
斜坡起步輔助,●
定速系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
座椅材質,真皮
腰部支撐調整,電動
前座座椅調整,●
後座分離式傾倒,●
加熱座椅,●
後座杯架,●
後座扶手,●
外部音源接入,USB、AUX-IN
藍牙通訊,●
音響系統,MP3、CD
音響喇叭數量,7
頭燈光源,HID
感應頭燈,●
LED日行燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
