Name,Elantra 2019 悍動,Elantra 2019 豪華,Elantra 2019 旗艦,Elantra 2019 柴油尊貴,Elantra 2019 Elantra Sport,Elantra 2019 Elantra Sport極速
新車售價,59.9萬,65.9萬,69.9萬,78.9萬,79.9萬,87.9萬
車身型式,中型房車,中型房車,中型房車,中型房車,中型房車,中型房車
動力型式,汽油,汽油,汽油,柴油,汽油,汽油
變速系統,手自排6速,手自排6速,手自排6速,自手排7速雙離合器,自手排7速,自手排7速
排氣量,1591cc,1591cc,1591cc,1582cc,1591cc,1591cc
官方0-100km/h加速(s),-,-,-,-,7.7s,7.7s
能源局公佈平均油耗,15.2km/ltr,15.2km/ltr,14.2km/ltr,22.1km/ltr,14.4km/ltr,14.4km/ltr
能源效率等級,2,2,2,1,2,2
燃料稅,4800元,4800元,4800元,2880元,4800元,4800元
牌照稅,7120元,7120元,7120元,7120元,7120元,7120元
車長(mm),4570mm,4570mm,4570mm,4570mm,4570mm,4570mm
車寬(mm),1800mm,1800mm,1800mm,1800mm,1800mm,1800mm
車高(mm),1450mm,1450mm,1450mm,1450mm,1450mm,1450mm
軸距(mm),2700mm,2700mm,2700mm,2700mm,2700mm,2700mm
車重(kg),1256kg,1256kg,1293kg,1371kg,1398kg,1398kg
車門數,4門,4門,4門,4門,4門,4門
乘客數,5座,5座,5座,5座,5座,5座
油箱容量(L),50L,50L,50L,50L,50L,50L
行李容積(L),458L,458L,458L,458L,458L,458L
風阻係數,0.27,0.27,0.27,0.27,-,-
進氣型式,自然吸氣,自然吸氣,自然吸氣,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16,16
壓縮比,10.5,10.5,10.5,16.0,10.5,10.5
最大馬力,128hp/6300rpm,128hp/6300rpm,128hp/6300rpm,136hp/4000rpm,204hp/6000rpm,204hp/6000rpm
最大扭力,15.8/4850rpm,15.8/4850rpm,15.8/4850rpm,30.6/1750~2500rpm,27kgm/1500~4500rpm,27kgm/1500~4500rpm
缸徑(mm),77mm,77mm,77mm,77.2mm,-,-
衝程(mm),85.4mm,85.4mm,85.4mm,84.5mm,-,-
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑,扭力樑,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,195/65R15,195/65R15,205/55R16,205/55R16,225/45 R17,225/45 R17
後輪尺碼,195/65R15,195/65R15,205/55R16,205/55R16,225/45 R17,225/45 R17
引擎擺放位置,前置,前置,前置,前置,前置,前置
運動外觀套件,-,-,-,-,●,●
輪圈規格,15吋,15吋,16吋,16吋,17吋,17吋
感應式雨刷,-,-,●,-,●,●
後視鏡加熱/除霧,●,●,●,●,●,●
後視鏡電動折疊,●,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●,●
方向盤調整,●,●,●,●,●,●
多功能方向盤,-,●,●,-,●,●
方向盤換檔,-,-,-,-,-,●
動力方向盤,●,●,●,●,●,●
旅程電腦,●,●,●,●,●,●
中央顯示幕,-,-,-,●,●,●
多功能資訊幕,●,●,●,●,●,●
Keyless免匙系統,-,-,●,-,●,●
中控鎖,●,●,●,●,●,●
衛星導航,○,○,○,○,○,○
行車紀錄器,○,○,○,○,○,○
恆溫空調,-,-,●,-,雙區,雙區
後座出風口,-,●,●,●,●,●
前座正面氣囊,●,●,●,●,●,●
前座側面氣囊,-,●,●,●,●,●
側面氣簾,-,●,●,●,●,●
胎壓偵測,●,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●,●
煞車輔助系統,EBD+BOS+BAS,EBD+BOS+BAS,EBD+BOS+BAS,EBD+BOS+BAS,EBD/BOS/BAS,EBD/BOS/BAS
動態穩定系統,-,ESP,ESP,ESP,ESP,ESP
車道偏離警示,-,-,●,-,-,●
循跡系統,-,VSM,VSM,VSM,VSM,VSM
主動安全預防系統,-,-,●,-,-,●
斜坡起步輔助,-,●,●,●,●,●
定速系統,-,●,●,●,●,●
盲點偵測系統,-,-,●,-,-,●
倒車雷達,●,四眼式,四眼式,後方四眼式,四眼式,四眼式
倒車顯影系統,○,○,○,○,○,●
防盜系統,●,●,●,●,●,●
駕駛模式選擇,-,-,-,-,●,●
座椅材質,皮革,皮革,皮革,皮革,皮革,皮革
座椅高低調整,手動,手動,手動,手動,●,駕駛座電動
腰部支撐調整,-,-,-,-,-,●
前座座椅調整,●,●,●,●,●,●
後座分離式傾倒,6/4,6/4,6/4,6/4,6/4,6/4
後座杯架,-,●,●,●,●,●
後座扶手,-,●,●,●,●,●
外部音源接入,●,●,●,●,●,●
多媒體系統,○,○,○,○,○,7吋
數位電視,○,○,○,○,○,○
藍牙通訊,-,-,-,-,●,●
音響系統,●,●,●,●,●,●
音響喇叭數量,4,4,6,4,6,8
頭燈光源,鹵素,鹵素,HID,鹵素,鹵素,HID
感應頭燈,●,●,●,●,●,●
頭燈水準自動調整,-,-,●,-,●,●
LED日行燈,-,-,●,-,●,●
LED尾燈,-,-,-,-,●,●
前霧燈,-,-,●,●,-,●
後霧燈,●,●,●,●,●,●
引擎啟閉系統,-,-,-,●,●,●
