Name,Q70 2018 2.5L豪華款,Q70 2018 2.5L旗艦款,Q70 2018 3.7L旗艦款
新車售價,209萬,229萬,278萬
車身型式,大型房車,大型房車,大型房車
動力型式,汽油,汽油,汽油
變速系統,手自排7速,手自排7速,手自排7速
排氣量,2496cc,2496cc,3696cc
能源局公佈平均油耗,11km/ltr,11km/ltr,11.3km/ltr
能源效率等級,-,3,3
燃料稅,7200元,7200元,9810元
牌照稅,15210元,15210元,28220元
車長(mm),4980mm,4980mm,4980mm
車寬(mm),1845mm,1845mm,1845mm
車高(mm),1500mm,1500mm,1500mm
軸距(mm),2900mm,2900mm,2900mm
車重(kg),1747kg,1747kg,1809kg
車門數,4門,4門,4門
乘客數,4座,4座,4座
油箱容量(L),90L,-,76L
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型6缸,V型6缸,V型6缸
汽門數,24,24,24
壓縮比,10.3,9.8,11
最大馬力,218hp@6400rpm,218 hp@6400rpm,328 hp@7000 rpm
最大扭力,25.8 kgm@4800rpm,25.8kgm@4800rpm,37kgm@5200rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,245/50R 18,245/50R 18,245/50R 18
後輪尺碼,245/50R 18,245/50R 18,245/50R 18
引擎擺放位置,前置,前置,前置
電動天窗,-,●,●
電動開闔尾門/行李蓋,●,●,●
車頂行李架,●,-,-
輪圈規格,18吋、鋁合金,18吋、鋁合金,-
感應式雨刷,●,●,●
後視鏡自動防眩目,車內,車內,車內
後視鏡加熱/除霧,●,●,●
後視鏡記憶,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
方向盤調整,電動4向,電動4向,電動4向
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,-,●
多功能資訊幕,●,●,●
環景影像系統,●,-,-
Keyless免匙系統,●,●,●
中控鎖,●,●,●
衛星導航,●,●,●
恆溫空調,●,雙區,雙區
後座出風口,●,●,●
車內粉塵過濾,●,-,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,VDC,VDC,VDC
車道偏離警示,-,●,●
循跡系統,TCS,TCS,TCS
主動安全預防系統,-,●,●
定速系統,●,●,●
倒車雷達,●,●,●
倒車顯影系統,●,●,●
防盜系統,●,●,●
駕駛模式選擇,●,●,●
座椅材質,真皮,真皮,真皮
座椅高低調整,電動10向,電動10向,電動10向
腰部支撐調整,電動,電動,電動
前座座椅調整,●,●,●
座椅記憶功能,●,●,●
加熱座椅,●,●,●
通風座椅,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,USB、AUX-IN,AUX-IN、USB,AUX-IN、USB
多媒體系統,DVD,DVD,DVD
藍牙通訊,●,●,●
音響系統,DVD,MP3、DVD,MP3、DVD、CD
音響喇叭數量,10,16,16
頭燈光源,LED,LED,LED
感應頭燈,●,●,●
主動轉向頭燈,●,●,●
LED尾燈,●,●,●
前霧燈,●,●,●
後霧燈,●,-,●
引擎啟閉系統,觸控,觸控,觸控
