Name,G Convertible 2013 37
新車售價,284萬
車身型式,敞篷車
動力型式,汽油
變速系統,手自排7速
排氣量,3696cc
能源局公佈平均油耗,11km/ltr
燃料稅,9810元
牌照稅,28220元
車長(mm),4660mm
車寬(mm),1850mm
車高(mm),1400mm
軸距(mm),2850mm
車重(kg),1904kg
車門數,2門
乘客數,4座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,V型6缸
汽門數,24
壓縮比,11
最大馬力,324hp@7000rpm
最大扭力,37.0kgm@5200rpm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,225/45R19 245/40R19
後輪尺碼,225/45R19 245/40R19
感應式雨刷,●
方向盤調整,電動
方向盤換檔,●
旅程電腦,●
中央顯示幕,●
Keyless免匙系統,●
衛星導航,●
恆溫空調,●
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
定速系統,●
倒車雷達,前
倒車顯影系統,●
防盜系統,●
跑車式座椅,●
前座座椅調整,●
座椅記憶功能,●
加熱座椅,●
通風座椅,●
外部音源接入,AUX-IN
藍牙通訊,●
音響系統,MP3、DVD、CD
音響喇叭數量,13只
頭燈光源,HID
感應頭燈,●
主動轉向頭燈,●
LED尾燈,●
後霧燈,●
