Name,Juke 2019 英倫版,Juke 2019 豪華版,Juke 2019 魅力豪華版,Juke 2019 魅力旗艦版,Juke 2019 魅力天窗版
新車售價,83.9萬,88.9萬,90.9萬,117.9萬,121.9萬
車身型式,小型SUV休旅,小型SUV休旅,小型SUV休旅,小型SUV休旅,小型SUV休旅
動力型式,汽油,汽油,汽油,汽油,汽油
變速系統,無段變速CVT,無段變速CVT,無段變速CVT,手自排CVT 6速,手自排CVT 6速
排氣量,1598cc,1598cc,1598cc,1618cc,1618cc
能源局公佈平均油耗,16.4km/ltr,16.4km/ltr,16.4km/ltr,14.0km/ltr,14.0km/ltr
能源效率等級,1,1,1,3,3
燃料稅,4800元,4800元,4800元,4800元,4800元
牌照稅,7120元,7120元,7120元,7120元,7120元
車長(mm),4135mm,4135mm,4135mm,4135mm,4135mm
車寬(mm),1765mm,1765mm,1765mm,1765mm,1765mm
車高(mm),1565mm,1565mm,1565mm,1565mm,1565mm
軸距(mm),2530mm,2530mm,2530mm,2530mm,2530mm
車重(kg),1200kg,1200kg,1200kg,1430kg,1430kg
車門數,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座
油箱容量(L),46L,46L,46L,50L,50L
進氣型式,自然吸氣,自然吸氣,自然吸氣,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16
壓縮比,10.7,10.7,10.7,10.5,10.5
最大馬力,117hp@6000rpm,117hp@6000rpm,117hp@6000rpm,190hp@5600rpm,190hp@5600rpm
最大扭力,16.1kgm@4000rpm,16.1kgm@4000rpm,16.1kgm@4000rpm,24.5kgm@1600~5200rpm,24.5kgm@1600~5200rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/60R16,215/55R17,225/45R18,215/55R17,225/45R18
後輪尺碼,205/60R16,215/55R17,225/45R18,215/55R17,225/45R18
引擎擺放位置,前置,前置,前置,前置,前置
電動天窗,-,-,-,-,全景式
運動外觀套件,-,-,●,●,-
輪圈規格,17吋,17吋,18吋,17吋,18吋
後雨刷,●,●,●,●,●
感應式雨刷,●,●,●,●,●
後視鏡自動防眩目,車內、車外,車內、車外,車內、車外,車內、車外,車內、車外
後視鏡電動折疊,●,●,●,●,●
後視鏡電動調整,-,●,●,-,-
後視鏡方向指示燈,●,●,●,●,●
方向盤調整,●,●,●,●,●
多功能方向盤,●,●,●,●,●
動力方向盤,●,●,●,●,●
旅程電腦,●,●,●,●,●
中央顯示幕,●,●,●,●,●
Keyless免匙系統,●,●,●,●,●
中控鎖,●,●,●,●,●
衛星導航,●,●,●,●,●
恆溫空調,●,●,●,●,●
車內粉塵過濾,●,●,●,●,●
前座正面氣囊,●,●,●,●,●
前座側面氣囊,●,●,●,●,●
側面氣簾,-,●,●,●,●
胎壓偵測,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●
動態穩定系統,VDC,VDC,VDC,VDC,VDC
循跡系統,TCS,TCS,TCS,TVS、TCS,TVS、TCS
定速系統,●,●,●,●,●
倒車雷達,●,●,●,●,●
倒車顯影系統,○,○,○,○,○
防盜系統,●,●,●,●,●
座椅材質,織布,皮革,皮革,真皮,真皮
座椅高低調整,●,●,●,●,●
前座座椅調整,●,●,●,●,●
後座分離式傾倒,6/4,6/4,6/4,6/4,6/4
加熱座椅,-,●,●,●,●
外部音源接入,USB,USB,USB,USB,USB
數位電視,●,●,●,●,●
藍牙通訊,●,●,●,●,●
音響系統,MP3、DVD、CD,MP3、DVD、CD,MP3、DVD、CD,MP3、DVD、CD,MP3、DVD、CD
音響喇叭數量,6只,6只,6只,6只,6只
頭燈光源,-,-,-,HID,HID
感應頭燈,●,●,●,●,●
LED日行燈,●,●,●,●,●
前霧燈,●,●,●,●,●
後霧燈,●,●,●,●,●
引擎啟閉系統,觸控,觸控,觸控,觸控,觸控
