Name,U5 2019 大屏幕版,U5 2019 智行版,U5 2019 AR環景版,U5 2019 旗艦Hi-Fi版,U5 2019 旗艦Vogue+版
新車售價,65.9萬,70.9萬,73.5萬,76.5萬,79.9萬
車身型式,小型SUV休旅,小型SUV休旅,小型SUV休旅,小型SUV休旅,小型SUV休旅
動力型式,汽油,汽油,汽油,汽油,汽油
變速系統,無段變速模擬7速手自排,無段變速模擬7速手自排,無段變速模擬7速手自排,無段變速模擬7速手自排,無段變速模擬7速手自排
排氣量,1556cc,1556cc,1556cc,1556cc,1556cc
能源局公佈平均油耗,14.3km/ltr,14.3km/ltr,14.3km/ltr,14.3km/ltr,14.3km/ltr
能源效率等級,2,2,2,2,2
燃料稅,4800元,4800元,4800元,4800元,4800元
牌照稅,7120元,7120元,7120元,7120元,7120元
車長(mm),4395mm,4395mm,4395mm,4395mm,4395mm
車寬(mm),1783mm,1783mm,1783mm,1783mm,1783mm
車高(mm),1607mm,1607mm,1607mm,1607mm,1607mm
軸距(mm),2620mm,2620mm,2620mm,2620mm,2620mm
車重(kg),1283kg,1283kg,1283kg,1283kg,1283kg
車門數,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座
油箱容量(L),47L,47L,47L,47L,47L
行李容積(L),422L,422L,422L,422L,422L
前輪距(mm),1505mm,1505mm,1505mm,1505mm,1505mm
後輪距(mm),1522mm,1522mm,1522mm,1522mm,1522mm
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16
壓縮比,11:1,11:1,11:1,11:1,11:1
最大馬力,120hp/6000rpm,120hp/6000rpm,120hp/6000rpm,120hp/6000rpm,120hp/6000rpm
最大扭力,15.3kgm/4200rpm,15.3kgm/4200rpm,15.3kgm/4200rpm,15.3kgm/4200rpm,15.3kgm/4200rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑,扭力樑,扭力樑
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,215/55R17,215/55R17,215/55R17,215/55R17,215/55R17
後輪尺碼,215/55R17,215/55R17,215/55R17,215/55R17,215/55R17
引擎擺放位置,前置,前置,前置,前置,前置
電動天窗,-,-,-,-,●
車頂行李架,●,●,●,●,●
輪圈規格,17吋,17吋,17吋,17吋,17吋
後雨刷,●,●,●,●,●
後視鏡電動折疊,-,-,●,●,●
後視鏡電動調整,●,●,●,●,●
方向盤調整,●,●,●,●,●
多功能方向盤,●,●,●,●,●
動力方向盤,●,●,●,●,●
旅程電腦,●,●,●,●,●
中央顯示幕,●,●,●,●,●
多功能資訊幕,●,●,●,●,●
環景影像系統,-,●,●,●,●
Keyless免匙系統,-,-,●,●,●
中控鎖,●,●,●,●,●
衛星導航,○,○,○,○,○
恆溫空調,●,●,●,●,●
後座出風口,-,-,●,●,●
前座正面氣囊,●,●,●,●,●
前座側面氣囊,-,●,●,●,●
側面氣簾,-,●,●,●,●
胎壓偵測,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●
煞車輔助系統,BAS/EBD/BOS/HBB,BAS/EBD/BOS/HBB,BAS/EBD/BOS/HBB,BAS/EBD/BOS/HBB,BAS/EBD/BOS/HBB
動態穩定系統,ESC,ESC,ESC,ESC,ESC
循跡系統,TCS,TCS,TCS,TCS,TCS
斜坡起步輔助,●,●,●,●,●
定速系統,●,●,●,●,●
自動停車系統,-,-,●,●,●
盲點偵測系統,-,●,-,-,-
倒車雷達,後方,前後方,前後方,前後方,前後方
倒車顯影系統,●,●,●,●,●
防盜系統,●,●,●,●,●
駕駛模式選擇,●,●,●,●,●
座椅材質,皮革,皮革,皮革,皮革,皮革
座椅高低調整,手動4向,手動4向,手動6向,手動6向,手動6向
前座座椅調整,●,●,●,●,●
後座分離式傾倒,6/4,6/4,6/4,6/4,6/4
後座杯架,●,●,●,●,●
後座扶手,●,●,●,●,●
外部音源接入,藍芽/USB,藍芽/USB,藍芽/USB,藍芽/USB,藍芽/USB
多媒體系統,12吋,12吋,12吋,12吋,12吋
藍牙通訊,●,●,●,●,●
音響系統,●,●,●,●,●
音響喇叭數量,4支,4支,4支,7支,7支
頭燈光源,鹵素,鹵素,鹵素,鹵素,鹵素
LED日行燈,●,●,●,●,●
前霧燈,-,-,-,●,●
後霧燈,●,●,●,●,●
