Name,U7 Turbo 2015 豪華型,U7 Turbo 2015 尊爵型,U7 Turbo 2015 旗艦型,U7 Turbo 2015 4WD旗艦型
新車售價,94萬,100萬,112.5萬,119.5萬
車身型式,大型SUV休旅,大型SUV休旅,大型SUV休旅,大型SUV休旅
動力型式,汽油,汽油,汽油,汽油
變速系統,手自排5速,手自排5速,手自排5速,手自排5速
排氣量,2198cc,2198cc,2198cc,2198cc
能源局公佈平均油耗,11.3km/ltr,11.1km/ltr,11.1km/ltr,10.1km/ltr
燃料稅,6180元,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元,11230元
車長(mm),4820mm,4820mm,4820mm,4820mm
車寬(mm),1935mm,1935mm,1935mm,1935mm
車高(mm),1715mm,1730mm,1730mm,1730mm
軸距(mm),2910mm,2910mm,2910mm,2910mm
車重(kg),1800kg,1850kg,1850kg,1950kg
車門數,5門,5門,5門,5門
乘客數,5座,5座,7座,7座
油箱容量(L),75L,75L,75L,75L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16
壓縮比,9,9,9,9
最大馬力,175hp@5200rpm,175hp@5200rpm,175hp@5200rpm,175hp@5200rpm
最大扭力,28.0kgm@2500~4000rpm,28.0kgm@2500~4000rpm,28.0kgm@2500~4000rpm,28.0kgm@2500~4000rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑,扭力樑
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,235/55R18,235/55R18,235/55R18,235/55R18
後輪尺碼,235/55R18,235/55R18,235/55R18,235/55R18
電動天窗,-,-,●,●
電動開闔尾門/行李蓋,●,●,●,●
車頂行李架,-,●,●,●
後視鏡加熱/除霧,●,●,●,●
後視鏡電動折疊,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
環景影像系統,-,●,●,●
Keyless免匙系統,●,●,●,●
恆溫空調,●,●,●,●
後座出風口,●,●,●,●
前座正面氣囊,●,●,●,●
前座側面氣囊,-,-,●,●
側面氣簾,-,-,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●,●
車道偏離警示,●,●,●,●
循跡系統,-,●,●,●
斜坡起步輔助,●,●,●,●
定速系統,-,-,●,●
倒車雷達,●,前,前,前
倒車顯影系統,●,●,●,●
防盜系統,●,●,●,●
後座前後滑移,●,●,●,●
後座分離式傾倒,●,●,●,●
座椅記憶功能,●,●,●,●
後座杯架,●,●,●,●
後座扶手,●,●,●,●
外部音源接入,AUX-IN,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN
藍牙通訊,-,●,●,●
音響系統,MP3、CD,MP3、CD,MP3、CD,MP3、CD
音響喇叭數量,6只,8只,8只,8只
頭燈光源,-,HID,HID,HID
感應頭燈,-,●,●,●
LED日行燈,●,●,●,●
LED尾燈,●,●,●,●
前霧燈,●,●,●,●
後霧燈,●,●,●,●
夜視輔助系統,-,-,-,●
