Name,U6 Turbo 2015 1.8尊貴型,U6 Turbo 2015 1.8豪華型,U6 Turbo 2015 2.0極致型,U6 Turbo 2015 2.0尊爵型,U6 Turbo 2015 2.0旗艦型
新車售價,72.9萬,77.9萬,81.9萬,88.9萬,95.9萬
車身型式,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅
動力型式,汽油,汽油,汽油,汽油,汽油
變速系統,手自排5速,手自排5速,手自排5速,手自排6速,手自排6速
排氣量,1798cc,1798cc,1998cc,1998cc,1998cc
能源局公佈平均油耗,14.1km/ltr,14.1km/ltr,14.1km/ltr,13.5km/ltr,13.5km/ltr
燃料稅,4800元,4800元,6180元,6180元,6180元
牌照稅,7120元,7120元,11230元,11230元,11230元
車長(mm),4625mm,4625mm,4625mm,4625mm,4625mm
車寬(mm),1825mm,1825mm,1825mm,1825mm,1825mm
車高(mm),1645mm,1645mm,1645mm,1645mm,1645mm
軸距(mm),2720mm,2720mm,2720mm,2720mm,2720mm
車重(kg),1472kg,1472kg,1472kg,1486kg,1505kg
車門數,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座
油箱容量(L),55L,55L,55L,55L,55L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16
壓縮比,9,9,9,9,9
最大馬力,150hp@5200rpm,150hp@5200rpm,150hp@5200rpm,170hp@5200rpm,170hp@5200rpm
最大扭力,23.5kgm@2400~4000rpm,23.5kgm@2400~4000rpm,23.5kgm@2400~4000rpm,26.1kgm@2400~4000rpm,26.1kgm@2400~4000rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂,拖曳臂,拖曳臂,拖曳臂
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,215/55R17,215/55R17,215/55R17,215/55R17,215/55R17
後輪尺碼,215/55R17,215/55R17,215/55R17,215/55R17,215/55R17
電動天窗,-,-,-,●,●
電動開闔尾門/行李蓋,-,-,-,●,●
車頂行李架,●,●,-,●,●
輪圈規格,-,17吋,17吋,17吋,-
後視鏡電動折疊,-,●,-,●,●
後視鏡電動調整,-,-,●,-,-
方向盤換檔,-,-,-,●,●
旅程電腦,●,●,●,●,●
中央顯示幕,●,●,-,●,●
抬頭顯示幕,-,●,●,●,●
環景影像系統,-,-,●,●,●
Keyless免匙系統,-,-,●,●,●
恆溫空調,●,●,●,●,●
前座正面氣囊,●,●,-,●,●
前座側面氣囊,-,-,●,-,●
側面氣簾,-,-,-,-,●
ABS防鎖死,●,●,●,●,●
車道偏離警示,-,●,-,●,●
循跡系統,-,-,-,●,●
定速系統,-,-,-,●,●
盲點偵測系統,-,-,●,-,-
倒車雷達,-,●,-,前,前後
倒車顯影系統,-,-,●,-,-
防盜系統,●,●,●,●,●
電子手剎車,-,-,●,●,-
座椅材質,-,-,皮革,皮革,皮革
後座分離式傾倒,●,●,6/4,●,●
後座杯架,●,●,●,●,●
後座扶手,●,●,●,●,●
外部音源接入,USB、AUX-IN,USB、AUX-IN,-,●,USB、AUX-IN
多媒體系統,-,-,LUXGEN THINK TOUCH,-,-
藍牙通訊,-,-,-,●,●
音響系統,MP3、CD,MP3、CD,MP5、DVD、CD、MP3,●,MP3、DVD、CD
音響喇叭數量,6只,6只,6只,6,6只
頭燈光源,-,-,-,-,HID
LED尾燈,●,●,●,●,●
前霧燈,-,-,-,●,●
後霧燈,●,●,-,●,●
引擎啟閉系統,-,-,觸控,-,-
