Name,X1 2019 sDrive18i,X1 2019 sDrive18d,X1 2019 sDrive20i
新車售價,183萬,193萬,207萬
車身型式,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅
動力型式,汽油,柴油,汽油
變速系統,自手排7速雙離合器,手自排8速,自手排7速
排氣量,1499cc,1995cc,1998cc
極速(km/h),200km/h,205km/h,225km/h
官方0-100km/h加速(s),9.6s,9.2s,7.6s
能源局公佈平均油耗,14.6km/ltr,16.8km/ltr,14.3km/ltr
能源效率等級,2級,1級,1級
燃料稅,4800元,3708元,6180元
牌照稅,7120元,11230元,11230元
車長(mm),4439mm,4439mm,4439mm
車寬(mm),1821mm,1821mm,1821mm
車高(mm),1598mm,1598mm,1598mm
軸距(mm),2670mm,2670mm,2670mm
車重(kg),1430kg,1470kg,1480kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),51L,51L,51L
行李容積(L),505~1550L,505~1550L,505~1550L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列3缸,直列4缸,直列4缸
汽門數,12,16,16
壓縮比,11,16.5,11
最大馬力,136hp@4400rpm,150hp@4000rpm,192hp@5000rpm
最大扭力,22.4kgm@1250rpm,33.7kgm@1750rpm,28.6kgm@1250rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,225/55R17,225/55R17,225/55R18
後輪尺碼,225/55R17,225/55R17,225/55R18
引擎擺放位置,前置,前置,前置
電動天窗,-,-,全景式
電動開闔尾門/行李蓋,●,●,●
車頂行李架,●,●,●
輪圈規格,17吋,17吋,18吋
後雨刷,●,●,●
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡記憶,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,手動四向
多功能方向盤,●,●,●
方向盤換檔,-,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
抬頭顯示幕,●,●,●
Keyless免匙系統,●,●,●
中控鎖,●,●,●
衛星導航,●,●,●
恆溫空調,●,●,雙區
後座出風口,●,●,●
車內粉塵過濾,-,-,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,●,●,●
失壓續跑胎,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISOFIX
ABS防鎖死,●,●,●
煞車輔助系統,●,●,●
動態穩定系統,DSC,DSC,DSC
車道偏離警示,●,●,●
循跡系統,●,●,●
主動安全預防系統,●,●,●
斜坡起步輔助,-,●,-
定速系統,●,●,●
自動停車系統,●,●,●
駕駛警示系統,●,●,●
倒車雷達,前後,前後,前後
倒車顯影系統,●,●,●
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,皮革,皮革,皮革
座椅高低調整,●,●,●
腰部支撐調整,-,-,●
前座座椅調整,●,●,●
後座座椅調整,●,●,●
後座前後滑移,●,●,●
後座分離式傾倒,4/2/4,4/2/4,4/2/4
座椅記憶功能,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,●,●,●
多媒體系統,8.8吋,8.8吋,8.8吋
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,6,6,6
頭燈光源,LED,LED,LED
感應頭燈,●,●,●
頭燈水準自動調整,●,●,●
LED日行燈,●,●,●
LED尾燈,-,-,●
前霧燈,●,●,●
後霧燈,●,●,●
轉向輔助照明,●,●,●
低滾動阻力輪胎,●,●,●
車輛動能回收系統,●,●,●
引擎啟閉系統,●,●,●
