Name,1-Series Coupe 2013 118d M Sport Package手排版,1-Series Coupe 2013 118d M Sport Package自排版,1-Series Coupe 2013 135i M Sport Package
新車售價,149萬,159萬,266萬
車身型式,雙門跑車,雙門跑車,雙門跑車
動力型式,柴油,柴油,汽油
變速系統,手排6速,手自排6速,自手排7速雙離合
排氣量,1995cc,1995cc,2979cc
能源局公佈平均油耗,18.8km/ltr,15.7km/ltr,9.8km/ltr
燃料稅,3708元,3708元,7200元
牌照稅,11230元,11230元,15210元
車長(mm),4360mm,4360mm,4360mm
車寬(mm),1748mm,1748mm,1748mm
車高(mm),1408mm,1408mm,1408mm
軸距(mm),2660mm,2660mm,2660mm
車重(kg),1350kg,1375kg,1470kg
車門數,2門,2門,2門
乘客數,4座,4座,4座
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列6缸
汽門數,16,16,24
壓縮比,16.5,16.5,10.2
最大馬力,143hp@4000rpm,143hp@4000rpm,306hp@5800rpm
最大扭力,30.6kgm@1750rpm,30.6kgm@1750rpm,40.8kgm@1200rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/50R17 225/45R17,205/50R17 225/45R17,215/40R18 245/35R18
後輪尺碼,205/50R17 225/45R17,205/50R17 225/45R17,215/40R18 245/35R18
電動天窗,●,●,●
感應式雨刷,●,●,●
方向盤換檔,-,-,●
旅程電腦,●,●,●
中央顯示幕,-,-,●
Keyless免匙系統,●,●,●
衛星導航,-,-,●
恆溫空調,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,-,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,●,●,●
失壓續跑胎,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●
循跡系統,●,●,●
定速系統,●,●,●
倒車雷達,●,●,-
倒車顯影系統,-,-,●
防盜系統,●,●,●
跑車式座椅,●,●,●
腰部支撐調整,-,-,電動
前座座椅調整,-,-,●
後座分離式傾倒,●,●,●
座椅記憶功能,-,-,●
外部音源接入,AUX-IN,AUX-IN,USB、AUX-IN
藍牙通訊,●,●,●
音響系統,MP3、CD,MP3、CD,MP3、DVD、CD
音響喇叭數量,6只,6只,8只
頭燈光源,HID,HID,HID
感應頭燈,●,●,●
前霧燈,●,●,-
後霧燈,●,●,●
