Name,6-Series GT 2019 630i Luxury,6-Series GT 2019 630i M Sport,6-Series GT 2019 640i M Sport
新車售價,350萬,370萬,429萬
車身型式,大型掀背車,大型掀背車,大型掀背車
動力型式,汽油,汽油,汽油
變速系統,手自排8速,手自排8速,手自排8速
排氣量,1998cc,1998cc,2998cc
極速(km/h),250km/h,250km/h,250km/h
官方0-100km/h加速(s),6.3s,6.3s,5.4s
能源局公佈平均油耗,13.7km/ltr,13.7km/ltr,10.4km/ltr
能源效率等級,1級,1級,3級
燃料稅,6180元,6180元,7200元
牌照稅,11230元,11230元,15210元
車長(mm),5091mm,5091mm,5091mm
車寬(mm),1902mm,1902mm,1902mm
車高(mm),1538mm,1538mm,1538mm
軸距(mm),3070mm,3070mm,3070mm
車重(kg),1720kg,1720kg,1770kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),68L,68L,68L
行李容積(L),610~1800L,610~1800L,610~1800L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列6缸
汽門數,16,16,24
最大馬力,258hp/5000rpm,258hp/5000rpm,340hp/5500rpm
最大扭力,40.7kgm/1550rpm,40.7kgm/1550rpm,45.8kgm/1380rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,245/45R19,245/45R19,245/40R20
後輪尺碼,275/40R19,275/40R19,275/35R20
引擎擺放位置,前置,前置,前置
電動天窗,●,●,●
運動外觀套件,-,●,●
電動開闔尾門/行李蓋,●,●,●
輪圈規格,19吋,19吋,20吋
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡記憶,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
抬頭顯示幕,●,●,●
環景影像系統,●,●,●
Keyless免匙系統,●,●,●
中控鎖,●,●,●
衛星導航,●,●,●
恆溫空調,●,●,●
後座出風口,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,●,●,●
失壓續跑胎,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,●,●,●
動態穩定系統,DSC,DSC,DSC
車道偏離警示,●,●,●
循跡系統,●,●,●
主動安全預防系統,●,●,●
斜坡起步輔助,●,-,-
定速系統,●,●,●
自動停車系統,●,●,●
盲點偵測系統,●,●,●
駕駛警示系統,●,●,●
倒車雷達,●,●,●
倒車顯影系統,●,●,●
防盜系統,●,●,●
主動式智慧定速系統,○,○,○
電子懸吊,○,○,○
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,真皮,真皮,真皮
跑車式座椅,○,○,○
座椅高低調整,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●
後座分離式傾倒,○,○,○
座椅記憶功能,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,●,●,USB
多媒體系統,10.25吋,10.25吋,10.25吋
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,12支,16,16
頭燈光源,LED,LED,LED
感應頭燈,●,●,●
主動轉向頭燈,○,○,○
頭燈水準自動調整,●,●,●
自適應遠近光,○,○,○
LED日行燈,●,●,●
LED尾燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
引擎啟閉系統,●,●,●
