Name,6-Series Coupe 2017 640i,6-Series Coupe 2017 650i
新車售價,415萬,578萬
車身型式,雙門跑車,雙門跑車
動力型式,汽油,汽油
變速系統,手自排8速,手自排8速
排氣量,2979cc,4395cc
極速(km/h),250km/h,250km/h
官方0-100km/h加速(s),5.3s,4.6s
能源局公佈平均油耗,10.7km/ltr,10.0km/ltr
能源效率等級,3級,1級
燃料稅,7200元,11220元
牌照稅,15210元,46170元
車長(mm),4894mm,4894mm
車寬(mm),1894mm,1894mm
車高(mm),1369mm,1369mm
軸距(mm),2855mm,2855mm
車重(kg),1685kg,1795kg
車門數,2門,2門
乘客數,4座,4座
油箱容量(L),70L,70L
行李容積(L),460L,460L
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列6缸,V型8缸
汽門數,24,32
壓縮比,10.2,10
最大馬力,320hp@5800rpm,450hp@5500rpm
最大扭力,45.9kgm@1300rpm,66.3kgm@2000rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,245/40R19,245/40R19
後輪尺碼,275/35R19,275/35R19
引擎擺放位置,前置,前置
電動天窗,●,●
車門自動吸附,-,●
電動開闔尾門/行李蓋,-,●
輪圈規格,19吋,19吋
感應式雨刷,●,●
後視鏡自動防眩目,●,-
後視鏡加熱/除霧,●,●
後視鏡記憶,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,-,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
抬頭顯示幕,-,●
環景影像系統,-,●
Keyless免匙系統,●,●
中控鎖,●,●
衛星導航,●,●
恆溫空調,●,●
後座出風口,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
失壓續跑胎,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,●,●
動態穩定系統,DSC,DSC
車道偏離警示,●,-
循跡系統,●,●
主動安全預防系統,●,-
定速系統,●,●
盲點偵測系統,●,-
倒車雷達,前後,前後
倒車顯影系統,●,●
防盜系統,●,●
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,真皮,真皮
跑車式座椅,●,●
座椅高低調整,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動
前座座椅調整,●,●
後座分離式傾倒,●,●
座椅記憶功能,●,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,●,●
多媒體系統,●,●
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,9,16
頭燈光源,LED,LED
感應頭燈,●,●
主動轉向頭燈,●,●
自適應遠近光,-,●
LED日行燈,●,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,-
引擎啟閉系統,●,●
