Name,i8 2018 Coupe,i8 2018 Roadster
新車售價,998萬,1068萬
車身型式,雙門跑車,雙門跑車
動力型式,油電混合,油電混合
變速系統,手自排6速,手自排6速
排氣量,1499cc,1499cc
極速(km/h),250km/h,250km/h
官方0-100km/h加速(s),4.4s,4.6s
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),4689mm,4689mm
車寬(mm),1942mm,1942mm
車高(mm),1291mm,1291mm
軸距(mm),2800mm,2800mm
車重(kg),1535kg,1595kg
車門數,2門,2門
乘客數,4座,2座
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列3缸,直列3缸
汽門數,12,12
最大馬力,231hp@5800rpm,231hp@5800rpm
最大扭力,32.6kgm@3700rpm,32.6kgm@3700rpm
馬達出力,143hp/25.5kgm,143hp/25.5kgm
油電綜效輸出,374hp/58.1kgm,374hp/58.1kgm
純電池里程(km),55km,55km
電池組質保,8年10萬公里,8年10萬公里
電池種類,鋰電池,鋰電池
驅動型式,四輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,215/45R20,215/45R20
後輪尺碼,245/40R20,245/40R20
引擎擺放位置,中置,中置
輪圈規格,20吋,20吋
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,●
後視鏡記憶,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
抬頭顯示幕,●,●
Keyless免匙系統,●,●
中控鎖,●,●
衛星導航,●,●
恆溫空調,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
煞車輔助系統,●,●
動態穩定系統,DSC,DSC
車道偏離警示,●,●
循跡系統,●,●
主動安全預防系統,●,●
斜坡起步輔助,●,●
定速系統,●,●
駕駛警示系統,●,●
倒車雷達,前後,前後
倒車顯影系統,●,●
防盜系統,●,●
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,真皮,真皮
跑車式座椅,●,●
座椅高低調整,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動
前座座椅調整,●,●
座椅記憶功能,●,●
加熱座椅,●,●
後座杯架,●,●
外部音源接入,●,●
多媒體系統,8.8吋,8.8吋
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,11,11
頭燈光源,雷射,雷射
感應頭燈,●,●
主動轉向頭燈,●,●
頭燈水準自動調整,●,●
自適應遠近光,●,●
LED日行燈,●,●
LED尾燈,●,●
後霧燈,●,●
低滾動阻力輪胎,●,●
車輛動能回收系統,●,●
引擎啟閉系統,●,●
