Name,Discovery 3 2009 2.7 TDV6,Discovery 3 2009 4.4 V8
新車售價,319萬,325萬
車身型式,豪華SUV休旅,豪華SUV休旅
動力型式,柴油,汽油
變速系統,手自排6速,手自排6速
排氣量,2720cc,4394cc
能源局公佈平均油耗,9.6km/ltr,7.4km/ltr
燃料稅,4320元,11220元
牌照稅,15210元,46170元
車長(mm),4835mm,4835mm
車寬(mm),2009mm,2009mm
車高(mm),1841mm,1841mm
軸距(mm),2885mm,2885mm
車重(kg),2504kg,2480kg
車門數,5門,5門
乘客數,5座,5座
進氣型式,渦輪增壓,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型6缸,V型8缸
汽門數,24,32
壓縮比,17.3,10.8
最大馬力,190hp@4000rpm,295hp@5500rpm
最大扭力,44.9kgm@1900rpm,43.4kgm@4000rpm
驅動型式,四輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞
前輪尺碼,255/60R18,255/55R19
後輪尺碼,255/60R18,255/55R19
電動天窗,●,●
車頂行李架,●,●
感應式雨刷,●,●
後視鏡加熱/除霧,●,●
後視鏡方向指示燈,●,●
方向盤調整,電動,電動
旅程電腦,●,●
Keyless免匙系統,●,●
恆溫空調,●,●
後座出風口,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
後座側面氣囊,●,●
側面氣簾,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
循跡系統,●,●
定速系統,●,●
倒車雷達,●,●
防盜系統,●,●
座椅材質,皮革,皮革
前座座椅調整,●,●
後座分離式傾倒,●,●
座椅記憶功能,●,●
後座杯架,●,●
後座扶手,●,●
藍牙通訊,●,●
音響系統,MP3、CD,MP3、CD
音響喇叭數量,8只,13只
頭燈光源,HID,HID
感應頭燈,●,●
主動轉向頭燈,●,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,●
