Name,Freelander 2015 SD4 HSE,Freelander 2015 Si4 HSE
新車售價,235萬,242萬
車身型式,中型SUV休旅,中型SUV休旅
動力型式,柴油,汽油
變速系統,手自排6速,手自排6速
排氣量,2179cc,1999cc
能源局公佈平均油耗,14.29km/ltr,9.5km/ltr
燃料稅,3708元,6180元
牌照稅,11230元,11230元
車長(mm),4500mm,4500mm
車寬(mm),2195mm,2195mm
車高(mm),1740mm,1740mm
軸距(mm),2660mm,2660mm
車重(kg),1805kg,1780kg
車門數,5門,5門
乘客數,5座,5座
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,15.8,10
最大馬力,190hp@3500rpm,240hp@5500rpm
最大扭力,42.8kgm@1750rpm,34.7kgm@3200rpm
驅動型式,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,麥花臣,麥花臣
煞車型式,前後碟煞,前後碟煞
前輪尺碼,235/60R18,235/60R18
後輪尺碼,235/60R18,235/60R18
電動天窗,全景式,全景式
感應式雨刷,●,●
後視鏡加熱/除霧,●,●
後視鏡電動折疊,●,●
旅程電腦,●,●
中央顯示幕,●,●
Keyless免匙系統,●,●
恆溫空調,●,●
後座出風口,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
膝部氣囊,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
循跡系統,●,●
斜坡起步輔助,●,●
陡坡緩降系統,●,●
定速系統,●,●
倒車雷達,前,前
防盜系統,●,●
腰部支撐調整,電動,電動
前座座椅調整,●,●
後座分離式傾倒,●,●
座椅記憶功能,●,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,USB、AUX-IN,USB、AUX-IN
藍牙通訊,●,●
音響系統,MP3、CD,MP3、CD
音響喇叭數量,11只,11只
頭燈光源,HID,HID
感應頭燈,●,●
LED日行燈,●,●
前霧燈,●,●
後霧燈,●,●
