Name,Cooper Clubman 2010 1.6,Cooper Clubman 2010 S
新車售價,143萬,169萬
車身型式,中型掀背車,中型掀背車
動力型式,汽油,汽油
變速系統,手自排6速,手自排6速
排氣量,1598cc,1598cc
能源局公佈平均油耗,12km/ltr,13.1km/ltr
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),3937mm,3958mm
車寬(mm),1683mm,1683mm
車高(mm),1426mm,1432mm
軸距(mm),2547mm,2547mm
車重(kg),1260kg,1305kg
車門數,5門,5門
乘客數,5座,5座
進氣型式,自然吸氣,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,11,10.5
最大馬力,120hp@6000rpm,175hp@5500rpm
最大扭力,16.3kgm@4250rpm,24.5kgm@1600~5000rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,195/55R16,205/45R17
後輪尺碼,195/55R16,205/45R17
電動天窗,全景式,全景式
感應式雨刷,●,●
後視鏡加熱/除霧,●,●
方向盤換檔,●,●
旅程電腦,●,●
恆溫空調,-,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
定速系統,●,●
倒車雷達,●,●
防盜系統,●,●
座椅材質,皮革,皮革
後座分離式傾倒,●,●
後座杯架,●,●
外部音源接入,AUX-IN,AUX-IN
音響系統,MP3、CD,MP3、CD
音響喇叭數量,6只,6只
頭燈光源,HID,HID
感應頭燈,●,●
前霧燈,●,●
後霧燈,●,●
