Name,Mini 2018 One,Mini 2018 Cooper,Mini 2018 Cooper S,Mini 2018 John Cooper Works
新車售價,113萬,141萬,165萬,193萬
車身型式,小型掀背車,小型掀背車,小型掀背車,小型掀背車
動力型式,汽油,汽油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速,手自排8速
排氣量,1499cc,1499cc,1998cc,1998cc
極速(km/h),195km/h,209km/h,235km/h,246km/h
官方0-100km/h加速(s),10.2s,7.8s,6.7s,6.1s
能源局公佈平均油耗,16.7km/ltr,17.1km/ltr,15km/ltr,-
能源效率等級,3,1,1,-
燃料稅,4800元,4800元,6180元,6180元
牌照稅,7120元,7120元,11230元,11230元
車長(mm),3821mm,3821mm,3850mm,3821mm
車寬(mm),1727mm,1727mm,1727mm,1727mm
車高(mm),1414mm,1414mm,1414mm,1414mm
軸距(mm),2495mm,2495mm,2495mm,2495mm
車重(kg),1215kg,1210kg,1280kg,1330kg
車門數,3門,3門,3門,3門
乘客數,4座,4座,4座,4座
油箱容量(L),40L,40L,44L,40L
行李容積(L),211L,211L,211L,211L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,雙渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列3缸,直列3缸,直列4缸,直列4缸
汽門數,12,12,16,16
壓縮比,11,11,-,-
最大馬力,102hp@3900~6500rpm,136hp@4500~6000rpm,192hp@5000~6000rpm,231hp@5200~6000rpm
最大扭力,19.4kgm@1380~3600rpm,22.4kgm@1480~4200rpm,28.6kgm@1350~4600rpm,32.6kgm@1450~4800rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿
煞車型式,前碟後鼓,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,175/65R15,195/55R16,205/45R17,205/40R18
後輪尺碼,175/65R15,195/55R16,205/45R17,205/40R18
引擎擺放位置,前置,前置,前置,前置
運動外觀套件,-,-,-,●
輪圈規格,15吋,16吋,17吋,18吋
後雨刷,●,●,●,●
感應式雨刷,●,●,●,●
後視鏡自動防眩目,-,●,●,●
後視鏡加熱/除霧,-,●,●,●
後視鏡電動折疊,●,●,●,●
後視鏡電動調整,●,●,●,●
方向盤調整,●,●,●,●
多功能方向盤,●,●,●,●
方向盤換檔,-,-,●,●
動力方向盤,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
Keyless免匙系統,●,●,●,●
中控鎖,●,●,●,●
恆溫空調,-,●,●,●
車內粉塵過濾,-,●,●,●
前座正面氣囊,●,●,●,●
前座側面氣囊,●,●,●,●
側面氣簾,●,●,●,●
胎壓偵測,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,●
ABS防鎖死,●,●,●,●
煞車輔助系統,●,●,●,●
動態穩定系統,●,●,●,●
循跡系統,●,●,●,●
斜坡起步輔助,●,●,●,●
定速系統,-,●,●,●
駕駛警示系統,-,●,●,●
倒車雷達,●,前後,前後,●
倒車顯影系統,-,●,●,●
防盜系統,●,●,●,●
駕駛模式選擇,-,●,●,●
座椅材質,織布,皮布雙織,皮布雙織,真皮
跑車式座椅,-,●,●,●
座椅高低調整,●,●,●,●
腰部支撐調整,-,●,●,●
前座座椅調整,●,●,●,●
後座分離式傾倒,6/4,6/4,6/4,6/4
後座杯架,●,●,●,-
外部音源接入,●,●,●,●
多媒體系統,6.5吋,6.5吋,6.5吋,6.5吋
藍牙通訊,●,●,●,●
音響系統,●,●,●,●
音響喇叭數量,4,4,6,6
頭燈光源,鹵素,LED,LED,LED
感應頭燈,●,●,●,●
自適應遠近光,-,●,●,●
LED日行燈,-,●,●,●
LED尾燈,●,●,●,●
前霧燈,●,●,●,●
後霧燈,●,●,●,●
引擎啟閉系統,●,●,●,●
