Name,Mini 5-Door 2018 One,Mini 5-Door 2018 Cooper,Mini 5-Door 2018 Cooper S
新車售價,118萬,145萬,169萬
車身型式,小型掀背車,小型掀背車,小型掀背車
動力型式,汽油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速
排氣量,1499cc,1499cc,1998cc
極速(km/h),192km/h,207km/h,235km/h
官方0-100km/h加速(s),10.5s,8.1s,6.8s
能源局公佈平均油耗,-,18.51km/ltr,15.7km/ltr
燃料稅,4800元,4800元,6180元
牌照稅,7120元,7120元,11230元
車長(mm),3982mm,3982mm,4005mm
車寬(mm),1727mm,1727mm,1727mm
車高(mm),1425mm,1425mm,1425mm
軸距(mm),2567mm,2567mm,2567mm
車重(kg),1270kg,1265kg,1340kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),40L,40L,44L
行李容積(L),941L,941L,941L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列3缸,直列3缸,直列4缸
汽門數,12,12,16
壓縮比,11,11,11
最大馬力,102hp@3900~6500rpm,136hp@4500~6000rpm,192hp@4700~6000rpm
最大扭力,19.4kgm@1380~3600rpm,22.4kgm@1480~4200rpm,28.6kgm@1350~4600rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,175/65R15,195/55R16,205/45R17
後輪尺碼,175/65R15,195/55R16,205/45R17
引擎擺放位置,前置,前置,前置
輪圈規格,15吋,16吋,17吋
後雨刷,●,●,●
感應式雨刷,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
方向盤調整,●,●,手動4向
多功能方向盤,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,-,●,-
Keyless免匙系統,●,●,●
中控鎖,●,●,●
恆溫空調,-,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,●,●,●
失壓續跑胎,-,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●
煞車輔助系統,●,●,●
動態穩定系統,●,●,●
循跡系統,●,●,●
斜坡起步輔助,●,●,●
定速系統,-,●,●
駕駛警示系統,-,●,●
倒車雷達,●,●,●
倒車顯影系統,-,●,●
防盜系統,●,●,●
駕駛模式選擇,-,●,●
座椅材質,織布,皮布雙織,皮布雙織
跑車式座椅,-,●,●
座椅高低調整,●,●,●
前座座椅調整,●,●,●
後座分離式傾倒,6/4,6/4,6/4
後座杯架,●,●,●
外部音源接入,●,●,●
多媒體系統,6.5吋,6.5吋,6.5吋
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,4,4,6
頭燈光源,鹵素,LED,LED
感應頭燈,●,●,●
自適應遠近光,-,●,●
LED日行燈,-,●,●
LED尾燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
引擎啟閉系統,●,●,●
