Name,Hatch 2016 One,Hatch 2016 Cooper,Hatch 2016 Cooper S自排版,Hatch 2016 Cooper S手排版,Hatch 2016 John Cooper Works手排版,Hatch 2016 John Cooper Works自排版
新車售價,113萬,141萬,165萬,165萬,185萬,192萬
車身型式,小型掀背車,小型掀背車,小型掀背車,小型掀背車,小型掀背車,小型掀背車
動力型式,汽油,汽油,汽油,汽油,汽油,汽油
變速系統,手自排6速,手自排6速,手自排8速,手排6速,手排6速,手自排8速
排氣量,1198cc,1499cc,1998cc,1998cc,1998cc,1998cc
能源局公佈平均油耗,17.2km/ltr,17.1km/ltr,15.5km/ltr,15.5km/ltr,12.6km/ltr,15.4km/ltr
燃料稅,4320元,4800元,6180元,6180元,6180元,6180元
牌照稅,4320元,7120元,11230元,11230元,11230元,11230元
車長(mm),3821mm,3821mm,3850mm,3850mm,3874mm,3874mm
車寬(mm),1727mm,1727mm,1727mm,1727mm,1727mm,1727mm
車高(mm),1414mm,1414mm,1414mm,1414mm,1414mm,1414mm
軸距(mm),2495mm,2495mm,2495mm,2495mm,2495mm,2495mm
車重(kg),1195kg,1190kg,1250kg,1250kg,1280kg,1295kg
車門數,3門,3門,3門,3門,3門,3門
乘客數,4座,4座,4座,4座,4座,4座
油箱容量(L),40L,40L,44L,44L,44L,44L
行李容積(L),211L,211L,211L,211L,211L,211L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列3缸,直列3缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,12,12,16,16,16,16
壓縮比,11,11,11,11,11,11
最大馬力,102hp@4250~6000rpm,136hp@4500~6000rpm,192hp@4700~6000rpm,192hp@4700~6000rpm,231hp@5200~6000rpm,231hp@5200~6000rpm
最大扭力,18.4kgm@1400~4000rpm,22.4kgm@1250rpm,28.6kgm@1250rpm,28.6kgm@1250rpm,32.6kgm@1250~4800rpm,32.6kgm@1250~4800rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,175/65R15,195/55R16,205/45R17,205/45R17,205/40R18,205/40R18
後輪尺碼,175/65R15,195/55R16,205/45R17,205/45R17,205/40R18,205/40R18
感應式雨刷,-,●,●,●,●,●
後視鏡加熱/除霧,-,●,●,●,●,●
後視鏡電動折疊,-,●,●,●,●,●
方向盤換檔,-,-,-,-,-,●
旅程電腦,●,●,●,●,●,●
中央顯示幕,-,●,●,●,●,●
Keyless免匙系統,●,●,●,●,●,●
恆溫空調,-,●,●,●,●,●
車內粉塵過濾,●,●,●,●,●,●
前座正面氣囊,●,●,●,●,●,●
前座側面氣囊,●,●,●,●,●,●
側面氣簾,●,●,●,●,●,●
胎壓偵測,●,●,●,●,●,●
失壓續跑胎,-,●,●,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●,●,●,●
循跡系統,●,●,●,●,●,●
斜坡起步輔助,●,●,●,●,●,●
定速系統,-,●,●,●,●,●
倒車顯影系統,-,●,●,●,●,●
防盜系統,●,●,●,●,●,●
座椅材質,織布,-,-,-,-,-
跑車式座椅,-,●,●,●,●,●
後座分離式傾倒,●,●,●,●,●,●
後座杯架,●,●,●,●,●,●
外部音源接入,AUX-IN,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN
藍牙通訊,-,●,●,●,●,●
音響系統,MP3、CD,MP3、CD,MP3、CD,MP3、CD,MP3、CD,MP3、CD
音響喇叭數量,4只,4只,6只,6只,6只,6只
頭燈光源,-,LED,LED,LED,LED,LED
感應頭燈,-,●,●,●,●,●
LED日行燈,-,●,●,●,●,●
前霧燈,●,●,●,●,-,-
後霧燈,●,●,●,●,●,●
