Name,LX 2018 570頂級版,LX 2018 570旗艦版
新車售價,465萬,515萬
車身型式,豪華SUV休旅,豪華SUV休旅
動力型式,汽油,汽油
變速系統,手自排8速,手自排8速
排氣量,5663cc,5663cc
極速(km/h),220km/h,220km/h
官方0-100km/h加速(s),7.5s,7.5s
能源局公佈平均油耗,6.4km/ltr,6.4km/ltr
能源效率等級,3,3
燃料稅,13080元,13080元
牌照稅,69690元,69690元
車長(mm),5065mm,5065mm
車寬(mm),1980mm,1980mm
車高(mm),1865mm,1865mm
軸距(mm),2850mm,2850mm
車重(kg),2840kg,2840kg
車門數,5門,5門
乘客數,8座,8座
油箱容量(L),93L,93L
行李容積(L),1276L,1276L
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型8缸,V型8缸
汽門數,32,32
壓縮比,10.2,10.2
最大馬力,367hp@5600rpm,367hp@5600rpm
最大扭力,54kgm@3200rpm,54kgm@3200rpm
驅動型式,四輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,285/60R18,275/50R21
後輪尺碼,285/60R18,275/50R21
電動天窗,●,●
電動開闔尾門/行李蓋,●,●
車頂行李架,-,○
輪圈規格,18吋,21吋
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,電動4向,電動4向
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
抬頭顯示幕,-,●
環景影像系統,●,●
Keyless免匙系統,●,●
中控鎖,●,●
衛星導航,●,●
恆溫空調,●,●
後座出風口,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
後座側面氣囊,●,●
側面氣簾,●,●
膝部氣囊,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,ESC,ESC
車道偏離警示,●,●
循跡系統,●,●
主動安全預防系統,●,●
斜坡起步輔助,●,●
定速系統,●,●
盲點偵測系統,-,●
倒車雷達,●,●
倒車顯影系統,-,●
防盜系統,●,●
座椅材質,真皮,真皮
座椅高低調整,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動
前座座椅調整,●,●
後座座椅調整,●,●
第三排座椅,●,●
加熱座椅,●,●
通風座椅,●,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,USB/AUX-IN,USB/AUX-IN
藍牙通訊,●,●
音響系統,MP3/CD,MP3/CD
音響喇叭數量,19,19
後座影音功能,●,●
頭燈光源,LED,LED
感應頭燈,●,●
主動轉向頭燈,●,-
自適應遠近光,●,●
LED日行燈,●,●
LED尾燈,-,●
前霧燈,●,●
後霧燈,●,●
