Name,CT 2018 豪華版,CT 2018 F Sport版
新車售價,139萬,139萬
車身型式,中型掀背車,中型掀背車
動力型式,油電混合,油電混合
變速系統,無段變速CVT,無段變速CVT
排氣量,1798cc,1798cc
極速(km/h),180km/h,180km/h
官方0-100km/h加速(s),10.3s,10.3s
能源局公佈平均油耗,23.1km/ltr,23.1km/ltr
能源效率等級,1,1
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),4350mm,4350mm
車寬(mm),1765mm,1765mm
車高(mm),1455mm,1455mm
軸距(mm),2600mm,2600mm
車重(kg),1465kg,1465kg
車門數,5門,5門
乘客數,5座,5座
油箱容量(L),45L,56L
行李容積(L),375~985L,375~985L
前輪距(mm),-,1580mm
後輪距(mm),-,1580mm
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,12.5,12.5
最大馬力,99hp@5200rpm,99hp@5200rpm
最大扭力,14.5kgm@2800~4400rpm,14.5kgm@2800~4400rpm
馬達出力,82hp/21.1kgm,82hp/21.1kgm
油電綜效輸出,136hp,136hp
電動機最大功率(kW),60kW,60kW
電動機最大扭力(N·m),207N·m,207N·m
電池種類,鎳氫,鎳氫
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞
前輪尺碼,205/55R16,215/45R17
後輪尺碼,205/55R16,215/45R17
引擎擺放位置,前置,前置
電動開闔尾門/行李蓋,-,●
輪圈規格,16吋,17吋
後雨刷,●,●
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,●
後視鏡記憶,-,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
Keyless免匙系統,●,●
中控鎖,●,●
恆溫空調,●,●
後座出風口,-,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
膝部氣囊,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,EBD,EBD
動態穩定系統,ESC,ESC
車道偏離警示,●,-
循跡系統,●,●
主動安全預防系統,●,-
斜坡起步輔助,●,●
定速系統,●,●
駕駛警示系統,●,-
倒車雷達,●,●
倒車顯影系統,●,●
防盜系統,●,●
主動式智慧定速系統,●,-
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,真皮,真皮
座椅高低調整,●,雙前座電動
腰部支撐調整,●,電動
前座座椅調整,●,●
後座座椅調整,-,●
後座分離式傾倒,●,6/4
座椅記憶功能,●,●
加熱座椅,●,●
通風座椅,-,●
後座杯架,-,●
後座扶手,-,●
外部音源接入,●,●
多媒體系統,7吋,7吋
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,10,10
頭燈光源,鹵素,LED
感應頭燈,●,●
自適應遠近光,-,●
LED日行燈,●,●
LED尾燈,-,●
前霧燈,●,●
後霧燈,●,●
