Name,Picanto 2019 經典版,Picanto 2019 時尚版,Picanto 2019 驚艷版,Picanto 2019 X-Line,Picanto 2019 GT-Line
新車售價,49.9萬,52.9萬,57.9萬,59.9萬,59.9萬
車身型式,小型掀背車,小型掀背車,小型掀背車,小型掀背車,小型掀背車
動力型式,汽油,汽油,汽油,汽油,汽油
變速系統,自排4速,自排4速,自排4速,自排4速,自排4速
排氣量,1248cc,1248cc,1248cc,1248cc,1248cc
能源局公佈平均油耗,16.7km/ltr,16.7km/ltr,16.7km/ltr,16.7km/ltr,16.7km/ltr
能源效率等級,1,1,1,1,1
燃料稅,4800元,4800元,4800元,4800元,4800元
牌照稅,7120元,7120元,7120元,7120元,7120元
車長(mm),3595mm,3595mm,3595mm,3670mm,3595mm
車寬(mm),1625mm,1625mm,1625mm,1625mm,1595mm
車高(mm),1500mm,1500mm,1500mm,1500mm,1485mm
軸距(mm),2400mm,2400mm,2400mm,2400mm,2400mm
車重(kg),1014kg,1014kg,1014kg,1014kg,1014kg
車門數,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座
油箱容量(L),35L,35L,35L,35L,35L
行李容積(L),255~1010L,255~1010L,255~1010L,255~1010L,255~1010L
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16
壓縮比,10.5,10.5,10.5,10.5,10.5
最大馬力,84hp@6000rpm,84hp@6000rpm,84hp@6000rpm,84hp@6000rpm,84hp@6000rpm
最大扭力,12.4kgm@4000rpm,12.4kgm@4000rpm,12.4kgm@4000rpm,12.4kgm@4000rpm,12.4kgm@4000rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑,扭力樑,扭力樑
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,175/65R14,185/55R15,185/55R15,195/45R16,195/45R16
後輪尺碼,175/65R14,185/55R15,185/55R15,195/45R16,195/45R16
引擎擺放位置,前置,前置,前置,前置,前置
輪圈規格,14吋鐵圈,15吋,15吋,16吋,16吋
後雨刷,●,●,●,●,●
後視鏡加熱/除霧,●,●,●,●,●
後視鏡電動折疊,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●
方向盤調整,●,●,●,●,●
多功能方向盤,●,●,●,●,●
動力方向盤,●,●,●,●,●
旅程電腦,●,●,●,●,●
中央顯示幕,●,●,●,●,●
Keyless免匙系統,-,-,●,●,●
中控鎖,●,●,●,●,●
衛星導航,○,○,○,○,○
恆溫空調,-,-,-,●,●
前座正面氣囊,●,●,●,●,●
前座側面氣囊,●,●,●,●,●
側面氣簾,●,●,●,●,●
膝部氣囊,-,-,●,●,●
胎壓偵測,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●
煞車輔助系統,BAS/TVBB/SLS/FBC/ESS,BAS/TVBB/SLS/FBC/ESS,BAS/TVBB/SLS/FBC/ESS/AEB,BAS/TVBB/SLS/FBC/ESS/AEB,BAS/TVBB/SLS/FBC/ESS/AEB
動態穩定系統,ESC/VSM,ESC/VSM,ESC/VSM,ESC/VSM,ESC/VSM
循跡系統,●,●,●,●,●
主動安全預防系統,-,-,●,●,●
斜坡起步輔助,●,●,●,●,●
定速系統,-,-,●,●,●
倒車雷達,●,●,●,●,●
防盜系統,●,●,●,●,●
座椅材質,織布,織布,皮布雙織,皮布雙織,皮布雙織
座椅高低調整,●,●,●,●,●
前座座椅調整,●,●,●,●,●
後座分離式傾倒,6/4,6/4,6/4,6/4,6/4
外部音源接入,●,●,●,●,●
多媒體系統,-,7吋,7吋,8吋,7吋
藍牙通訊,●,●,●,●,●
音響系統,●,●,●,●,●
音響喇叭數量,4,6,6,6,6
頭燈光源,鹵素,鹵素,鹵素,鹵素,鹵素
感應頭燈,●,●,●,●,●
LED日行燈,●,●,●,●,●
LED尾燈,●,●,●,●,●
前霧燈,●,●,●,●,●
後霧燈,●,●,●,●,●
引擎啟閉系統,●,●,●,●,●
