Name,Optima 2016 2.4
新車售價,119.98萬
車身型式,中大型房車
動力型式,汽油
變速系統,手自排6速
排氣量,2359cc
能源局公佈平均油耗,11.3km/ltr
能源效率等級,3
燃料稅,6180元
牌照稅,11230元
車長(mm),4845mm
車寬(mm),1830mm
車高(mm),1455mm
軸距(mm),2795mm
車重(kg),1570kg
車門數,4門
乘客數,5座
油箱容量(L),70L
行李容積(L),501L
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,10.5
最大馬力,172hp@6000rpm
最大扭力,22.9kgm@4000rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,225/45R18
後輪尺碼,225/45R18
引擎擺放位置,前置
電動天窗,全景式
感應式雨刷,●
後視鏡電動折疊,標配
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,手動4向
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
Keyless免匙系統,●
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
斜坡起步輔助,●
定速系統,●
倒車雷達,標配
倒車顯影系統,●
防盜系統,●
座椅材質,皮革
腰部支撐調整,電動
前座座椅調整,●
後座座椅調整,●
後座分離式傾倒,標配
後座杯架,●
後座扶手,●
外部音源接入,USB、AUX-IN
藍牙通訊,●
音響系統,MP3、CD
音響喇叭數量,8只
頭燈光源,鹵素
感應頭燈,●
LED日行燈,●
LED尾燈,●
前霧燈,●
