Name,Soul 2017 玩帥版,Soul 2017 酷勁版,Soul 2017 震撼版
新車售價,78.9萬,85.9萬,95.9萬
車身型式,小型SUV休旅,小型SUV休旅,小型SUV休旅
動力型式,柴油,柴油,柴油
變速系統,自手排7速雙離合器,自手排7速雙離合器,自手排7速雙離合器
排氣量,1582cc,1582cc,1582cc
能源局公佈平均油耗,17.0km/ltr,17.0km/ltr,16.4km/ltr
能源效率等級,1,1,1
燃料稅,2880元,2880元,2880元
牌照稅,7120元,7120元,7120元
車長(mm),4140mm,4140mm,4140mm
車寬(mm),1800mm,1800mm,1800mm
車高(mm),1593mm,1593mm,1618mm
軸距(mm),2570mm,2570mm,2570mm
車重(kg),1396kg,1403kg,1437kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),54L,54L,54L
行李容積(L),238~878L,238~878L,238~878L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,16.0,16.0,16.0
最大馬力,136hp@4000rpm,136hp@4000rpm,136hp@4000rpm
最大扭力,30.6kgm@1750~2500rpm,30.6kgm@1750~2500rpm,30.6kgm@1750~2500rpm
缸徑(mm),77.2mm,77.2mm,77.2mm
衝程(mm),84.5mm,84.5mm,84.5mm
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/60R16,205/60R16,235/45R18
後輪尺碼,205/60R16,205/60R16,235/45R18
備胎規格,非尺寸,非尺寸,非尺寸
引擎擺放位置,前置,前置,前置
運動外觀套件,-,-,●
車頂行李架,-,-,●
輪圈規格,16吋,16吋,18吋
後雨刷,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡電動折疊,-,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,○,●,-
Keyless免匙系統,-,●,●
衛星導航,○,●,●
恆溫空調,-,-,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,BAS,BAS,EBD
動態穩定系統,ESC/VSM,ESC/VSM,ESC/VSM
循跡系統,●,●,●
斜坡起步輔助,●,●,●
定速系統,-,●,●
盲點偵測系統,-,-,●
駕駛警示系統,-,-,●
倒車雷達,後方四眼式,後,後
倒車顯影系統,-,-,●
防盜系統,●,●,●
駕駛模式選擇,●,●,●
座椅材質,織布,織布,皮革
座椅高低調整,●,●,●
前座座椅調整,●,●,●
後座分離式傾倒,6/4,6/4,6/4
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,●,●,●
多媒體系統,●,●,●
藍牙通訊,-,-,●
音響系統,●,●,●
音響喇叭數量,6,6,6
頭燈光源,鹵素,鹵素,鹵素
感應頭燈,-,●,●
LED日行燈,-,-,●
LED尾燈,-,-,●
前霧燈,●,●,●
後霧燈,●,●,●
