Name,718 Cayman 2018 2.0T,718 Cayman 2018 S,718 Cayman 2018 GTS
新車售價,303萬,353萬起,412萬
車身型式,雙門跑車,雙門跑車,雙門跑車
動力型式,汽油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速
排氣量,1998cc,2497cc,2497cc
極速(km/h),275km/h,290km/h,290km/h
官方0-100km/h加速(s),4.9s,4.3s,4.3s
能源局公佈平均油耗,14.5km/ltr,12.2km/ltr,12.2km/ltr
燃料稅,6180元,7200元,7200元
牌照稅,11230元,15210元,15210元
車長(mm),4379mm,4393mm,4393mm
車寬(mm),1801mm,1801mm,1994mm
車高(mm),1295mm,1286mm,1286mm
軸距(mm),2475mm,2475mm,2475mm
車重(kg),1365kg,1405kg,1405kg
車門數,2門,2門,2門
乘客數,2座,2座,2座
油箱容量(L),54L,64L,64L
行李容積(L),前150/後275L,275L,275L
風阻係數,-,0.32,0.32
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,水平對臥4缸,水平對臥4缸,水平對臥4缸
汽門數,16,16,16
壓縮比,9.5,9.5,9.5
最大馬力,300hp@6500rpm,350hp@6500rpm,365hp@6500rpm
最大扭力,38.7kgm@1950~4500rpm,42.8kgm@1900~5500rpm,42.8kgm@1900~5500rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,麥花臣,麥花臣,麥花臣
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,235/45R18,235/35 ZR 20,235/35ZR20
後輪尺碼,265/45R18,235/35 ZR 20,265/35ZR20
引擎擺放位置,中置,中置,中置
運動外觀套件,-,●,●
輪圈規格,18吋,20吋,20吋
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡記憶,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
Keyless免匙系統,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
胎壓偵測,●,●,●
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,ESC,ESC,ESC
循跡系統,●,●,●
防盜系統,●,●,●
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,真皮,真皮,真皮
跑車式座椅,●,●,●
座椅高低調整,●,●,●
前座座椅調整,●,●,●
外部音源接入,●,●,●
多媒體系統,●,●,●
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,●,●,●
頭燈光源,HID,HID,HID
感應頭燈,●,●,●
LED日行燈,●,●,●
LED尾燈,●,●,●
後霧燈,●,●,●
