Name,CTS 2011 3.0 SIDI,CTS 2011 3.6 SIDI
新車售價,229萬,259萬
車身型式,豪華大型房車,豪華大型房車
動力型式,汽油,汽油
變速系統,手自排6速,手自排6速
排氣量,2997cc,3564cc
能源局公佈平均油耗,8.6km/ltr,9.8km/ltr
燃料稅,7200元,8640元
牌照稅,15210元,28220元
車長(mm),4866mm,4866mm
車寬(mm),1842mm,1842mm
車高(mm),1472mm,1472mm
軸距(mm),2880mm,2880mm
車重(kg),1831kg,1859kg
車門數,4門,4門
乘客數,5座,5座
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型6缸,V型6缸
汽門數,24,24
壓縮比,11.7,11.3
最大馬力,277hp@7000rpm,311hp@6300rpm
最大扭力,31.0kgm@5600rpm,38.1kgm@5200rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,235/50R18,245/45R19
後輪尺碼,235/50R18,245/45R19
感應式雨刷,●,●
方向盤調整,-,電動
方向盤換檔,-,●
旅程電腦,●,●
中央顯示幕,●,●
Keyless免匙系統,-,●
恆溫空調,●,●
後座出風口,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
循跡系統,●,●
定速系統,●,●
倒車雷達,●,●
倒車顯影系統,-,●
防盜系統,●,●
腰部支撐調整,電動,電動
前座座椅調整,●,●
後座分離式傾倒,●,●
座椅記憶功能,●,●
加熱座椅,●,●
通風座椅,-,●
後座杯架,●,●
後座扶手,●,●
藍牙通訊,●,●
音響系統,MP3、DVD、CD,MP3、DVD、CD
音響喇叭數量,10只,10只
頭燈光源,HID,HID
感應頭燈,●,●
主動轉向頭燈,●,●
前霧燈,●,●
後霧燈,●,●
