Name,STS 2010 3.6 SIDI Elegance,STS 2010 3.6 SIDI Premium
新車售價,258萬,278萬
車身型式,豪華大型房車,豪華大型房車
動力型式,汽油,汽油
變速系統,手自排6速,手自排6速
排氣量,3564cc,3564cc
能源局公佈平均油耗,9.5km/ltr,9.5km/ltr
燃料稅,8640元,8640元
牌照稅,28220元,28220元
車長(mm),4986mm,4986mm
車寬(mm),1844mm,1844mm
車高(mm),1463mm,1463mm
軸距(mm),2957mm,2957mm
車重(kg),1750kg,1750kg
車門數,4門,4門
乘客數,5座,5座
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型6缸,V型6缸
汽門數,24,24
壓縮比,11.3,11.3
最大馬力,311hp@6400rpm,311hp@6400rpm
最大扭力,38.1kgm@3200rpm,38.1kgm@3200rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,235/50R17 255/45R17,235/50R18 255/45R18
後輪尺碼,235/50R17 255/45R17,235/50R18 255/45R18
電動天窗,●,●
感應式雨刷,●,●
後視鏡加熱/除霧,●,●
方向盤調整,電動,電動
旅程電腦,●,●
Keyless免匙系統,●,●
恆溫空調,●,●
後座出風口,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
循跡系統,●,●
定速系統,●,●
倒車雷達,●,●
防盜系統,●,●
座椅材質,皮革,皮革
腰部支撐調整,-,電動
前座座椅調整,●,●
加熱座椅,-,●
通風座椅,-,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,-,USB、AUX-IN
藍牙通訊,-,●
音響系統,MP3、DVD、CD,MP3、DVD、CD
音響喇叭數量,9只,16只
頭燈光源,HID,HID
感應頭燈,●,●
前霧燈,●,●
後霧燈,●,●
