Name,SRX 2011 3.0 Brilliance,SRX 2011 3.0 Elegance,SRX 2011 3.0 Premium
新車售價,238萬,258萬,288萬
車身型式,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅
動力型式,汽油,汽油,汽油
變速系統,手自排6速,手自排6速,手自排6速
排氣量,2997cc,2997cc,2997cc
能源局公佈平均油耗,7.8km/ltr,7.8km/ltr,7.8km/ltr
燃料稅,7200元,7200元,7200元
牌照稅,15210元,15210元,15210元
車長(mm),4851mm,4851mm,4851mm
車寬(mm),1910mm,1910mm,1910mm
車高(mm),1663mm,1663mm,1667mm
軸距(mm),2807mm,2807mm,2807mm
車重(kg),1981kg,1981kg,1981kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型6缸,V型6缸,V型6缸
汽門數,24,24,24
壓縮比,11.7,11.7,11.7
最大馬力,269hp@6950rpm,269hp@6950rpm,269hp@6950rpm
最大扭力,30.8kgm@5100rpm,30.8kgm@5100rpm,30.8kgm@5100rpm
驅動型式,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,235/65R18,235/65R18,235/55R20
後輪尺碼,235/65R18,235/65R18,235/55R20
電動天窗,-,-,全景式
電動開闔尾門/行李蓋,●,●,●
車頂行李架,●,●,●
感應式雨刷,●,●,●
旅程電腦,●,●,●
中央顯示幕,-,●,●
Keyless免匙系統,-,-,●
衛星導航,-,●,●
恆溫空調,●,●,●
後座出風口,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●
循跡系統,●,●,●
斜坡起步輔助,●,●,●
定速系統,●,●,●
倒車雷達,前,前,前
倒車顯影系統,-,-,●
防盜系統,●,●,●
前座座椅調整,●,●,●
後座分離式傾倒,●,●,●
座椅記憶功能,●,●,●
加熱座椅,●,●,●
通風座椅,-,-,●
後座杯架,●,●,●
後座扶手,●,●,●
音響系統,MP3、CD,MP3、DVD、CD,MP3、DVD、CD
音響喇叭數量,9只,11只,11只
後座影音功能,-,-,●
頭燈光源,-,-,HID
感應頭燈,●,●,●
主動轉向頭燈,-,-,●
LED尾燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
