Name,C-HR 2019 經典型,C-HR 2019 豪華型,C-HR 2019 尊爵AWD
新車售價,84.9萬,92.9萬,103.9萬
車身型式,小型SUV休旅,小型SUV休旅,小型SUV休旅
動力型式,汽油,汽油,汽油
變速系統,無段變速,無段變速,無段變速
排氣量,1197cc,1197cc,1197cc
能源局公佈平均油耗,15km/ltr,15km/ltr,14.7km/ltr
能源效率等級,4,4,4
燃料稅,4320元,4320元,4320元
牌照稅,4320元,4320元,4320元
車長(mm),4360mm,4360mm,4360mm
車寬(mm),1795mm,1795mm,1795mm
車高(mm),1565mm,1565mm,1565mm
軸距(mm),2640mm,2640mm,2640mm
車重(kg),1440kg,1440kg,1510kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),50L,50L,50L
行李容積(L),318～1112L,318～1112L,318～1112L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,10:1,10:1,10:1
最大馬力,116hp@5200~5600rpm,116hp@5200~5600rpm,116hp@5200~5600rpm
最大扭力,18.9kgm@1500~4000rpm,18.9kgm@1500~4000rpm,18.9kgm@1500~4000rpm
驅動型式,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,雙A臂,雙A臂,雙A臂
煞車型式,四輪碟煞,四輪碟煞,四輪碟煞
前輪尺碼,215/60R17,215/60R17,215/60R17
後輪尺碼,215/60R17,215/60R17,215/60R17
引擎擺放位置,前置,前置,前置
輪圈規格,17吋,17吋,17吋
後雨刷,●,●,●
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
Keyless免匙系統,-,●,●
中控鎖,●,●,●
衛星導航,-,-,●
恆溫空調,●,●,●
車內粉塵過濾,-,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
膝部氣囊,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,BAS/BOS/EBD,BAS/BOS/EBD,BAS/BOS/EBD
動態穩定系統,VSC,VSC,VSC
循跡系統,TRC,TRC,TRC
斜坡起步輔助,●,●,●
定速系統,-,●,●
倒車雷達,●,●,前後
倒車顯影系統,●,●,●
防盜系統,●,●,●
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,織布,皮革,皮革
座椅高低調整,●,●,●
腰部支撐調整,-,●,●
前座座椅調整,●,●,●
後座分離式傾倒,6/4,6/4,6/4
加熱座椅,-,●,●
多媒體系統,●,●,●
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,6,6,6
頭燈光源,鹵素,LED,LED
感應頭燈,●,●,●
頭燈水準自動調整,-,●,●
LED日行燈,●,●,●
LED尾燈,-,●,●
前霧燈,●,●,●
後霧燈,●,●,●
引擎啟閉系統,-,●,●
