Name,Wish 2016 經典型,Wish 2016 豪華款,Wish 2016 尊爵型
新車售價,78.3萬,81.3萬,86.3萬
車身型式,MPV休旅,MPV休旅,MPV休旅
動力型式,汽油,汽油,汽油
變速系統,無段變速CVT,無段變速CVT,無段變速CVT
排氣量,1987cc,1987cc,1987cc
能源局公佈平均油耗,13km/ltr,13km/ltr,13km/ltr
能源效率等級,2,2,2
燃料稅,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元
車長(mm),4635mm,4635mm,4635mm
車寬(mm),1720mm,1720mm,1720mm
車高(mm),1590mm,1590mm,1590mm
軸距(mm),2750mm,2750mm,2750mm
車重(kg),1415kg,1425kg,1425kg
車門數,5門,5門,5門
乘客數,7座,7座,7座
油箱容量(L),60L,60L,60L
前輪距(mm),1505mm,1505mm,1505mm
後輪距(mm),1470mm,1470mm,1470mm
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,10,10,10
最大馬力,146hp@6200rpm,146hp@6200rpm,146hp@6200rpm
最大扭力,19.1kgm@3600rpm,19.1kgm@3600rpm,19.1kgm@3600rpm
缸徑(mm),80.5mm,80.5mm,80.5mm
衝程(mm),80.5mm,80.5mm,80.5mm
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂,拖曳臂
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,195/65R15,195/60R16,195/60R16
後輪尺碼,195/65R15,195/60R16,195/60R16
引擎擺放位置,前置,前置,前置
輪圈規格,-,16吋,-
後雨刷,-,●,-
後視鏡自動防眩目,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,-,●,-
方向盤調整,●,手動高低,●
多功能方向盤,-,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,-,●,-
抬頭顯示幕,-,○,○
Keyless免匙系統,-,-,●
中控鎖,-,●,-
衛星導航,-,●,●
恆溫空調,●,●,●
後座出風口,●,●,●
前座正面氣囊,●,●,●
胎壓偵測,-,○,○
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,-,-,VSC
循跡系統,-,-,TRC
定速系統,-,●,●
倒車雷達,●,●,●
倒車顯影系統,-,○,○
防盜系統,●,●,●
座椅材質,皮革,皮革,皮革
前座座椅調整,●,●,●
後座分離式傾倒,●,●,●
第三排座椅,-,●,-
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,-,●,●
多媒體系統,-,●,●
音響系統,●,●,●
音響喇叭數量,6,6,6
頭燈光源,鹵素,鹵素,HID
LED日行燈,-,-,●
前霧燈,●,●,●
引擎啟閉系統,-,●,-
