Name,Previa 2018 2.4 經典款,Previa 2018 2.4 豪華款,Previa 2018 2.4 Welcab,Previa 2018 3.5 旗艦款,Previa 2018 3.5 Welcab
新車售價,147萬,171萬,188萬,191萬,208萬
車身型式,MPV休旅,MPV休旅,MPV休旅,MPV休旅,MPV休旅
動力型式,汽油,汽油,汽油,汽油,汽油
變速系統,無段變速CVT,無段變速CVT,無段變速CVT,手自排6速,手自排6速
排氣量,2363cc,2362cc,2362cc,3456cc,3456cc
能源局公佈平均油耗,10.8km/ltr,10.8km/ltr,10.8km/ltr,9.7km/ltr,9.7km/ltr
能源效率等級,3,3,3,3,3
燃料稅,6180元,6180元,6180元,8640元,8640元
牌照稅,11230元,11230元,11230元,28220元,28220元
車長(mm),4795mm,4795mm,4795mm,4795mm,4795mm
車寬(mm),1800mm,1800mm,1800mm,1800mm,1800mm
車高(mm),1750mm,1750mm,1750mm,1750mm,1750mm
軸距(mm),2950mm,2950mm,2950mm,2950mm,2950mm
車重(kg),1830kg,1830kg,1830kg,1905kg,1905kg
車門數,5門,5門,5門,5門,5門
乘客數,7座,7座,7座,7座,7座
油箱容量(L),65L,65L,65L,65L,65L
前輪距(mm),1545mm,1545mm,1545mm,1545mm,1545mm
後輪距(mm),1550mm,1550mm,1550mm,1550mm,1550mm
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,V型6缸,V型6缸
汽門數,16,16,16,24,24
最大馬力,170hp@6000rpm,170hp@6000rpm,170hp@6000rpm,275hp@6200rpm,275hp@6200rpm
最大扭力,22.8kgm@4000rpm,22.8kgm@4000rpm,22.8kgm@4000rpm,34.7kgm@4700rpm,34.7kgm@4700rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂,拖曳臂,拖曳臂,拖曳臂
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,215/55R17,215/55R17,215/55R17,215/55R17,215/55R17
後輪尺碼,215/55R17,215/55R17,215/55R17,215/55R17,215/55R17
引擎擺放位置,前置,前置,前置,前置,前置
電動天窗,-,●,●,●,●
側滑門,-,●,電動,●,●
電動開闔尾門/行李蓋,-,●,●,●,●
玻璃車頂,-,●,●,●,●
輪圈規格,17吋,17吋,17吋,17吋,17吋
後雨刷,-,-,-,●,●
後視鏡電動折疊,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●
方向盤調整,●,手動4向,●,●,●
多功能方向盤,●,●,●,●,●
動力方向盤,●,●,●,●,●
旅程電腦,●,●,●,●,●
中央顯示幕,●,●,●,●,●
多功能資訊幕,●,●,●,●,●
環景影像系統,●,●,●,●,●
Keyless免匙系統,●,●,●,●,●
中控鎖,●,●,-,●,●
衛星導航,●,●,●,●,●
後座出風口,●,●,●,●,●
前座正面氣囊,●,●,●,●,●
前座側面氣囊,-,●,●,●,●
側面氣簾,●,●,●,●,●
膝部氣囊,-,●,●,●,●
胎壓偵測,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●
煞車輔助系統,EBD,EBD,EBD,EBD,EBD
動態穩定系統,VSC,VSC,VSC,VSC,VSC
循跡系統,TRC,TRC,TRC,TRC,TRC
斜坡起步輔助,●,●,●,●,●
定速系統,●,●,●,●,●
倒車雷達,標配,●,標配,●,●
倒車顯影系統,○,●,●,●,●
防盜系統,●,●,●,●,●
座椅材質,皮革,皮革,皮革,皮革,皮革
座椅高低調整,●,●,-,-,-
前座座椅調整,●,●,●,●,●
後座座椅調整,●,●,-,-,-
後座前後滑移,●,●,-,-,-
後座分離式傾倒,●,●,●,●,●
第三排座椅,●,●,●,●,●
後座杯架,●,●,●,●,●
後座扶手,●,●,●,●,●
外部音源接入,●,●,●,●,●
多媒體系統,-,●,●,●,●
藍牙通訊,●,●,●,●,●
音響系統,●,●,●,●,●
音響喇叭數量,6,6,6,6,6
頭燈光源,鹵素,HID,HID,HID,HID
感應頭燈,●,●,●,●,●
前霧燈,●,●,●,●,●
引擎啟閉系統,●,-,-,-,-
