Name,Legacy Wagon 2014 2.0i,Legacy Wagon 2014 2.5i
新車售價,120萬,132萬
車身型式,Wagon旅行車,Wagon旅行車
動力型式,汽油,汽油
變速系統,手自排CVT 6速,手自排CVT 6速
排氣量,1995cc,2498cc
能源局公佈平均油耗,11.8km/ltr,12.3km/ltr
燃料稅,6180元,7200元
牌照稅,11230元,15210元
車長(mm),4790mm,4790mm
車寬(mm),1780mm,1780mm
車高(mm),1535mm,1535mm
軸距(mm),2750mm,2750mm
車重(kg),1494kg,1527kg
車門數,5門,5門
乘客數,5座,5座
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,水平對臥4缸,水平對臥4缸
汽門數,16,16
壓縮比,10.5,10
最大馬力,150hp@6000rpm,173hp@5600rpm
最大扭力,20.0kgm@4200rpm,24.0kgm@4100rpm
驅動型式,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞
前輪尺碼,205/60R16,215/50R17
後輪尺碼,205/60R16,215/50R17
感應式雨刷,●,●
後視鏡加熱/除霧,●,●
後視鏡電動折疊,●,●
後視鏡方向指示燈,●,●
方向盤換檔,●,●
旅程電腦,●,●
中央顯示幕,●,●
恆溫空調,●,●
後座出風口,-,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
循跡系統,●,●
斜坡起步輔助,●,●
定速系統,●,●
倒車顯影系統,●,●
防盜系統,●,●
座椅材質,織布,-
後座分離式傾倒,●,●
座椅記憶功能,-,●
加熱座椅,-,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,USB、AUX-IN,USB、AUX-IN
藍牙通訊,●,●
音響系統,MP3、CD,MP3、CD
音響喇叭數量,6只,6只
頭燈光源,-,HID
感應頭燈,●,●
前霧燈,●,●
後霧燈,●,●
