Name,WRX 2018 2.0 6MT,WRX 2018 2.0 6MT Premium,WRX 2018 2.0 CVT,WRX 2018 STI 2.5,WRX 2018 STI 2.5 Premium
新車售價,127萬,135萬,136萬,176萬,185萬
車身型式,中型房車,中型房車,中型房車,中型房車,中型房車
動力型式,汽油,汽油,汽油,汽油,汽油
變速系統,手排6速,手排6速,無段變速CVT,手排6速,手排6速
排氣量,1998cc,1998cc,1998cc,2457cc,2457cc
極速(km/h),215km/h,215km/h,240km/h,255km/h,255km/h
官方0-100km/h加速(s),6.0s,6.0s,6.3s,5.2s,5.2s
能源局公佈平均油耗,10.6km/ltr,10.6km/ltr,11.2km/ltr,9.1km/ltr,9.1km/ltr
能源效率等級,4,4,3,4,4
燃料稅,6180元,6180元,6180元,7200元,7200元
牌照稅,11230元,11230元,11230元,15210元,15210元
車長(mm),4595mm,4595mm,4595mm,4595mm,4595mm
車寬(mm),1795mm,1795mm,1795mm,1795mm,1795mm
車高(mm),1475mm,1475mm,1475mm,1475mm,1475mm
軸距(mm),2650mm,2650mm,2650mm,2650mm,2650mm
車重(kg),1474kg,1486kg,1538kg,1510kg,1528kg
車門數,4門,4門,4門,4門,4門
乘客數,5座,5座,5座,5座,5座
油箱容量(L),60L,60L,60L,60L,60L
行李容積(L),460L,460L,460L,460L,460L
前輪距(mm),1530mm,1530mm,1530mm,1530mm,1530mm
後輪距(mm),1540mm,1540mm,1540mm,1540mm,1540mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,水平對臥4缸,水平對臥4缸,水平對臥4缸,水平對臥4缸,水平對臥4缸
汽門數,16,16,16,16,16
壓縮比,10.6,10.6,10.6,8.2,8.2
最大馬力,268hp@5600rpm,268hp@5600rpm,268hp@5600rpm,300hp@6000rpm,300hp@6000rpm
最大扭力,35.7kgm@2400~5200rpm,35.7kgm@2400~5200rpm,35.7kgm@2400~5200rpm,41.5kgm@4000rpm,41.5kgm@4000rpm
缸徑(mm),86.0mm,86.0mm,86.0mm,99.5mm,99.5mm
衝程(mm),86.0mm,86.0mm,86.0mm,79.0mm,79.0mm
驅動型式,四輪驅動,四輪驅動,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂
煞車型式,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞,四輪碟煞
前輪尺碼,245/40R18,245/40R18,245/40R18,245/40R18,245/40R18
後輪尺碼,245/40R18,245/40R18,245/40R18,245/40R18,245/40R18
引擎擺放位置,前置,前置,前置,前置,前置
輪圈規格,18吋,18吋,18吋,18吋,18吋
感應式雨刷,●,●,●,●,●
後視鏡自動防眩目,-,●,●,●,●
後視鏡電動折疊,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●
方向盤調整,手動4向,手動4向,●,手動4向,手動4向
多功能方向盤,●,●,●,●,●
方向盤換檔,-,-,●,-,-
動力方向盤,●,●,●,●,●
旅程電腦,●,●,●,●,●
中央顯示幕,●,●,●,●,●
多功能資訊幕,●,●,●,●,●
Keyless免匙系統,-,●,●,●,●
中控鎖,●,●,●,●,●
恆溫空調,-,-,-,雙區,雙區
車內粉塵過濾,●,●,●,●,●
前座正面氣囊,●,●,●,●,●
前座側面氣囊,●,●,●,●,●
側面氣簾,●,●,●,●,●
膝部氣囊,●,●,●,●,●
胎壓偵測,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●
煞車輔助系統,EBD,EBD,EBD,EBD,EBD
動態穩定系統,ESP,ESP,ESP,ESP,●
循跡系統,●,●,●,●,●
斜坡起步輔助,●,●,●,●,●
定速系統,●,●,●,●,●
倒車雷達,●,●,●,●,●
倒車顯影系統,●,●,●,●,●
防盜系統,●,●,●,●,●
電子差速器,●,●,-,●,●
駕駛模式選擇,-,-,●,●,-
座椅材質,織布,真皮,真皮,真皮,真皮
跑車式座椅,●,-,●,-,●
座椅高低調整,●,電動10向,●,電動10向,電動8向
前座座椅調整,●,●,●,●,●
後座分離式傾倒,6/4,6/4,6/4,6/4,6/4
後座杯架,●,●,●,●,●
後座扶手,●,●,●,●,●
外部音源接入,AUX-IN、USB,AUX-IN、USB,●,AUX-IN、USB,AUX-IN、USB
多媒體系統,●,●,●,●,●
藍牙通訊,●,●,●,●,●
音響系統,●,●,●,●,●
音響喇叭數量,6,6,6,6,6
頭燈光源,鹵素,LED,LED,LED,LED
感應頭燈,-,●,●,●,●
主動轉向頭燈,-,●,●,●,●
頭燈水準自動調整,-,-,●,●,●
LED日行燈,●,●,●,●,●
LED尾燈,●,●,●,●,●
前霧燈,●,●,●,-,-
後霧燈,●,●,●,●,●
