Name,Impreza Sedan 2017 1.6i,Impreza Sedan 2017 1.6i-S
新車售價,79.8萬,89.8萬
車身型式,四門轎車 Sedan,四門轎車 Sedan
動力型式,汽油,汽油
變速系統,無段變速,無段變速
排氣量,1600cc,1600cc
極速(km/h),185km/h,185km/h
燃料稅,4800元,4800元
實測0-100km/h加速(s),-,12.19s
牌照稅,7120元,7120元
車長(mm),4625mm,4625mm
車寬(mm),1775mm,1775mm
車高(mm),1455mm,1455mm
軸距(mm),2670mm,2670mm
車重(kg),1361kg,1395kg
車門數,4門,4門
乘客數,5座,5座
油箱容量(L),50L,50L
前輪距(mm),1540mm,1540mm
後輪距(mm),1545mm,1545mm
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,水平對臥4缸,水平對臥4缸
汽門數,16,16
壓縮比,11,11
最大馬力,114hp@6200rpm,114hp@6200rpm
最大扭力,15.3kgm@3600rpm,15.3kgm@3600rpm
缸徑(mm),78.8mm,78.8mm
衝程(mm),82mm,82mm
驅動型式,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞
前輪尺碼,205/55R16,205/50R17
後輪尺碼,205/55R16,205/50R17
引擎擺放位置,前置,前置
電動天窗,-,●
輪圈規格,16吋,17吋
感應式雨刷,-,●
後視鏡自動防眩目,-,●
後視鏡電動折疊,-,●
後視鏡電動調整,-,●
後視鏡方向指示燈,-,●
方向盤調整,●,●
多功能方向盤,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
Keyless免匙系統,-,●
中控鎖,●,●
恆溫空調,-,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
膝部氣囊,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,BAS/EBD/ESS,BAS/EBD/ESS
動態穩定系統,VDC,VDC
循跡系統,●,●
主動安全預防系統,●,●
斜坡起步輔助,●,●
定速系統,-,●
盲點偵測系統,-,●
倒車雷達,●,●
倒車顯影系統,-,●
防盜系統,●,●
電子手剎車,●,●
座椅材質,織布,真皮
座椅高低調整,●,●
腰部支撐調整,-,●
前座座椅調整,●,●
後座分離式傾倒,6/4,6/4
後座杯架,-,●
後座扶手,-,●
外部音源接入,AUX-IN/USB,AUX-IN/USB
多媒體系統,●,●
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,4,6
頭燈光源,鹵素,LED
感應頭燈,-,●
主動轉向頭燈,-,●
自適應遠近光,-,●
LED日行燈,-,●
前霧燈,●,●
後霧燈,●,●
引擎啟閉系統,●,●
