Name,RS 7 Sportback 2017 V8
新車售價,761萬
車身型式,豪華大型房車
動力型式,汽油
變速系統,手自排8速
排氣量,3993cc
極速(km/h),250km/h
官方0-100km/h加速(s),3.9s
燃料稅,9810元
牌照稅,28220元
車長(mm),5012mm
車寬(mm),1911mm
車高(mm),1419mm
軸距(mm),2915mm
車重(kg),1930kg
車門數,5門
乘客數,5座
油箱容量(L),75L
行李容積(L),535-1390L
前輪距(mm),1634mm
後輪距(mm),1625mm
進氣型式,雙渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型8缸
汽門數,32
最大馬力,560hp@5700~6600rpm
最大扭力,71.4kgm@1750~5500rpm
驅動型式,四輪驅動
前輪懸吊,多連桿
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,285/30R21
後輪尺碼,285/30R21
引擎擺放位置,前置
電動天窗,●
運動外觀套件,●
電動開闔尾門/行李蓋,●
車頂行李架,●
輪圈規格,21吋
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡記憶,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,電動
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
Keyless免匙系統,●
中控鎖,●
衛星導航,●
恆溫空調,4區
後座出風口,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,ESC
車道偏離警示,●
循跡系統,ASR
主動安全預防系統,●
定速系統,●
自動停車系統,●
駕駛警示系統,●
倒車雷達,●
倒車顯影系統,●
電子懸吊,●
電子差速器,●
電子手剎車,●
駕駛模式選擇,●
座椅材質,真皮
跑車式座椅,●
座椅高低調整,駕駛座電動
腰部支撐調整,駕駛座電動
前座座椅調整,●
後座分離式傾倒,●
座椅記憶功能,●
後座杯架,●
後座扶手,●
外部音源接入,●
多媒體系統,●
藍牙通訊,●
音響系統,●
音響喇叭數量,14
頭燈光源,LED
感應頭燈,●
頭燈水準自動調整,●
自適應遠近光,●
LED日行燈,●
LED尾燈,●
後霧燈,●
引擎啟閉系統,●
