Name,Odyssey 2018 ELITE 七人座,Odyssey 2018 APEX 八人座,Odyssey 2018 APEX 七人座
新車售價,143.9萬,166.8萬,168.8萬
車身型式,MPV休旅,MPV休旅,MPV休旅
動力型式,汽油,汽油,汽油
變速系統,無段變速CVT,無段變速CVT,無段變速CVT
排氣量,2356cc,2356cc,2356cc
能源局公佈平均油耗,12.9km/ltr,12.9km/ltr,12.9km/ltr
能源效率等級,2,2,2
燃料稅,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元
車長(mm),4830mm,4830mm,4840mm
車寬(mm),1820mm,1820mm,1820mm
車高(mm),1695mm,1695mm,1695mm
軸距(mm),2900mm,2900mm,2900mm
車重(kg),1812kg,1797kg,1865kg
車門數,5門,5門,5門
乘客數,7座,8座,7座
油箱容量(L),55L,55L,55L
前輪距(mm),1560mm,1560mm,1560mm
後輪距(mm),1560mm,1560mm,1560mm
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,10.1,10.1,10.1
最大馬力,175hp@6200rpm,175hp@6200rpm,175hp@6200rpm
最大扭力,23.0kgm@4000rpm,23.0kgm@4000rpm,23.0kgm@4000rpm
缸徑(mm),87mm,87mm,87mm
衝程(mm),99.1mm,99mm,99.1mm
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,215/55R17,215/55R17,215/55R17
後輪尺碼,215/55R17,215/55R17,215/55R17
引擎擺放位置,前置,前置,前置
電動天窗,-,●,●
運動外觀套件,-,●,●
側滑門,●,●,●
輪圈規格,17吋,17吋,17吋
後雨刷,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
環景影像系統,-,●,●
Keyless免匙系統,●,●,●
中控鎖,●,●,●
恆溫空調,●,三區,三區
後座出風口,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,VSA,VSA,VSA
車道偏離警示,-,●,●
循跡系統,●,●,●
主動安全預防系統,-,●,●
斜坡起步輔助,●,●,●
定速系統,●,●,●
自動停車系統,-,●,●
盲點偵測系統,-,●,●
倒車雷達,-,●,●
倒車顯影系統,●,●,●
防盜系統,●,●,●
主動式智慧定速系統,-,●,●
駕駛模式選擇,●,●,●
座椅材質,皮革,皮革,皮革
座椅高低調整,●,●,●
前座座椅調整,●,●,●
後座座椅調整,●,●,●
後座前後滑移,●,●,●
後座分離式傾倒,2/4/2,4/2/4,第三排隱藏
第三排座椅,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,●,●,●
多媒體系統,●,●,●
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,6,6,6
頭燈光源,鹵素,LED,LED
感應頭燈,●,●,●
頭燈水準自動調整,-,●,●
LED日行燈,●,●,●
LED尾燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
轉向輔助照明,-,●,●
引擎啟閉系統,●,●,●
