Name,CR-V 2019 1.5 VTi-S,CR-V 2019 1.5 S
新車售價,103萬,113萬
車身型式,中型SUV休旅,中型SUV休旅
動力型式,汽油,汽油
變速系統,無段變速CVT,無段變速CVT
排氣量,1498cc,1498cc
能源局公佈平均油耗,14.6km/ltr,14.6km/ltr
能源效率等級,1,1
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),4570mm,4570mm
車寬(mm),1855mm,1855mm
車高(mm),1680mm,1680mm
軸距(mm),2660mm,2660mm
車重(kg),1504kg,1541kg
車門數,5門,5門
乘客數,5座,5座
油箱容量(L),57L,57L
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,10.3,10.3
最大馬力,193hp@5600rpm,193hp@5600rpm
最大扭力,24.8kgm@2000~5000rpm,24.8kgm@2000~5000rpm
缸徑(mm),73mm,73mm
衝程(mm),89.5mm,89.5mm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,四輪碟煞,四輪碟煞
前輪尺碼,235/60R18,235/60R18
後輪尺碼,235/60R18,235/60R18
引擎擺放位置,前置,前置
電動天窗,-,●
電動開闔尾門/行李蓋,-,●
輪圈規格,18吋,18吋
後雨刷,●,●
感應式雨刷,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
Keyless免匙系統,●,●
中控鎖,●,●
衛星導航,●,●
恆溫空調,雙區,雙區
後座出風口,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,EBD/BOS/BA/ESS,EBD/BOS/BA/ESS
動態穩定系統,AHA/VSA,AHA/VSA
車道偏離警示,●,●
循跡系統,●,●
主動安全預防系統,●,●
斜坡起步輔助,●,●
定速系統,●,●
盲點偵測系統,●,●
駕駛警示系統,●,●
倒車雷達,○,○
倒車顯影系統,●,●
防盜系統,●,●
主動式智慧定速系統,●,●
電子手剎車,●,●
駕駛模式選擇,●,●
座椅材質,皮革,皮革
座椅高低調整,●,駕駛座電動
腰部支撐調整,-,駕駛座電動
前座座椅調整,●,●
後座座椅調整,●,●
後座分離式傾倒,6/4,6/4
後座杯架,●,●
後座扶手,●,●
外部音源接入,●,●
多媒體系統,7吋,7吋
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,8,8
頭燈光源,LED,LED
感應頭燈,●,●
頭燈水準自動調整,●,●
自適應遠近光,●,●
LED日行燈,●,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,●
引擎啟閉系統,●,●
