Name,Ghost Series Ⅱ 2015 6.6 V12,Ghost Series Ⅱ 2015 6.6 V12 EWB
新車售價,1908萬,2238萬
車身型式,豪華大型房車,豪華大型房車
動力型式,汽油,汽油
變速系統,自排8速,自排8速
排氣量,6592cc,6592cc
能源局公佈平均油耗,7.4km/ltr,7.3km/ltr
燃料稅,13950元,13950元
牌照稅,69690元,69690元
車長(mm),5399mm,5569mm
車寬(mm),1948mm,1948mm
車高(mm),1550mm,1550mm
軸距(mm),3295mm,3465mm
車重(kg),2360kg,2420kg
車門數,4門,4門
乘客數,5座,5座
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型12缸,V型12缸
汽門數,48,48
壓縮比,10,10
最大馬力,570hp@5250rpm,570hp@5250rpm
最大扭力,79.5kgm@1500rpm,79.5kgm@1500rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,255/50R19,255/50R19
後輪尺碼,255/50R19,255/50R19
電動天窗,●,全景式
電動開闔尾門/行李蓋,●,●
感應式雨刷,●,●
旅程電腦,●,●
中央顯示幕,●,●
Keyless免匙系統,●,●
中控鎖,●,●
恆溫空調,●,●
後座出風口,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
循跡系統,●,●
定速系統,●,●
倒車雷達,前,前
倒車顯影系統,●,●
防盜系統,●,●
腰部支撐調整,電動,電動
前座座椅調整,●,●
後座座椅調整,●,●
座椅記憶功能,●,●
後座杯架,●,●
外部音源接入,USB、AUX-IN,USB、AUX-IN
數位電視,-,●
藍牙通訊,●,●
音響系統,MP3、DVD、CD,MP3、DVD、CD
音響喇叭數量,16只,16只
後座影音功能,-,●
頭燈光源,LED,LED
感應頭燈,●,●
主動轉向頭燈,●,●
自適應遠近光,●,●
LED日行燈,●,●
前霧燈,●,●
後霧燈,●,●
