Name,Cullinan 2019 6.75 V12
新車售價,2188萬
車身型式,豪華SUV休旅
動力型式,汽油
變速系統,自排8速
排氣量,6749cc
極速(km/h),250km/h
燃料稅,14910元
牌照稅,117000元
車長(mm),5341mm
車寬(mm),2164mm
車高(mm),1835mm
軸距(mm),3295mm
車重(kg),2660kg
車門數,5門
乘客數,4~5座
進氣型式,雙渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型12缸
汽門數,48
最大馬力,571hp@5000rpm
最大扭力,86.6kgm@1600rpm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,255/45R22
後輪尺碼,285/40R22
引擎擺放位置,前置
車門自動吸附,●
電動開闔尾門/行李蓋,●
輪圈規格,22吋
後雨刷,●
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡記憶,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,●
多功能方向盤,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
抬頭顯示幕,●
環景影像系統,●
Keyless免匙系統,●
中控鎖,●
衛星導航,●
恆溫空調,●
後座出風口,●
車內粉塵過濾,●
車載冰箱,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,●
動態穩定系統,●
車道偏離警示,●
循跡系統,●
主動安全預防系統,●
斜坡起步輔助,●
定速系統,●
盲點偵測系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
主動式智慧定速系統,●
氣壓懸吊,●
電子手剎車,●
駕駛模式選擇,●
座椅材質,真皮
座椅高低調整,雙前座電動
腰部支撐調整,雙前座電動
前座座椅調整,●
後座座椅調整,●
後座分離式傾倒,●
座椅記憶功能,●
加熱座椅,●
通風座椅,●
後座杯架,●
後座扶手,●
外部音源接入,●
多媒體系統,●
藍牙通訊,●
音響系統,●
音響喇叭數量,●
後座影音功能,●
後座整合控制台,●
頭燈光源,雷射
感應頭燈,●
主動轉向頭燈,●
頭燈水準自動調整,●
自適應遠近光,●
LED日行燈,●
LED尾燈,●
後霧燈,●
引擎啟閉系統,●
