Name,Actyon 2009 A200S 2WD,Actyon 2009 A200 XDi 2WD,Actyon 2009 A200S 4WD,Actyon 2009 A200 XDi 4WD
新車售價,118萬,119.8萬,128萬,139.8萬
車身型式,貨卡車 Pick-up,休旅車 SUV,貨卡車 Pick-up,休旅車 SUV
動力型式,柴油,柴油,柴油,柴油
變速系統,手自排6速,自排4速,手自排6速,自排4速
排氣量,1998cc,1998cc,1998cc,1998cc
能源局公佈平均油耗,10.9km/ltr,11.76km/ltr,10.8km/ltr,11.76km/ltr
燃料稅,3708元,3708元,3708元,3708元
牌照稅,11230元,11230元,11230元,11230元
車長(mm),4965mm,4455mm,4965mm,4455mm
車寬(mm),1900mm,1880mm,1900mm,1880mm
車高(mm),1755mm,1735mm,1755mm,1735mm
軸距(mm),3060mm,2740mm,3060mm,2740mm
車重(kg),1825kg,1795kg,1934kg,1903kg
車門數,4門,5門,4門,5門
乘客數,2座,5座,2座,5座
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16
壓縮比,17.5,17.5,17.5,17.5
最大馬力,141hp/4000rpm,145hp/4000rpm,141hp/4000rpm,145hp/4000rpm
最大扭力,31.6kgm/1800-2700rpm,32.0kgm/1800-2750rpm,31.6kgm/1800-2700rpm,32.0kgm/1800-2750rpm
驅動型式,後輪驅動,後輪驅動,四輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,225/75R16,225/75R16,225/75R16,225/75R16
後輪尺碼,225/75R16,225/75R16,225/75R16,225/75R16
電動天窗,-,●,-,●
車頂行李架,-,●,-,●
感應式雨刷,-,-,-,●
後視鏡加熱/除霧,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
Keyless免匙系統,●,●,●,●
衛星導航,●,-,●,-
恆溫空調,●,●,●,●
車內粉塵過濾,●,●,●,●
前座正面氣囊,●,●,●,●
前座側面氣囊,-,-,-,●
側面氣簾,-,-,-,●
ABS防鎖死,●,●,●,●
循跡系統,-,-,-,●
陡坡緩降系統,-,-,-,●
定速系統,-,●,-,●
倒車顯影系統,●,●,●,●
防盜系統,●,●,●,●
座椅材質,皮革,織布,皮革,皮革
前座座椅調整,●,●,●,●
後座分離式傾倒,-,●,-,●
後座扶手,●,●,●,●
數位電視,●,-,●,-
藍牙通訊,-,●,-,-
音響系統,DVD,DVD,DVD,DVD
音響喇叭數量,4只,6只,4只,6只
感應頭燈,-,-,-,●
前霧燈,●,●,●,●
