Name,Rexton W 2015 RX200 e-XDi
新車售價,157萬
車身型式,大型SUV休旅
動力型式,柴油
變速系統,手自排5速
排氣量,1998cc
能源局公佈平均油耗,12.3km/ltr
燃料稅,3708元
牌照稅,11230元
車長(mm),4755mm
車寬(mm),1900mm
車高(mm),1840mm
軸距(mm),2835mm
車重(kg),1985kg
車門數,5門
乘客數,7座
油箱容量(L),78L
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,16.5
最大馬力,155hp@4000rpm
最大扭力,36.7kgm@1500~2800rpm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,255/60R18
後輪尺碼,255/60R18
電動天窗,●
車頂行李架,●
感應式雨刷,●
後視鏡加熱/除霧,●
後視鏡電動折疊,●
後視鏡方向指示燈,●
方向盤換檔,●
旅程電腦,●
中央顯示幕,●
衛星導航,●
恆溫空調,●
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
ABS防鎖死,●
循跡系統,●
陡坡緩降系統,●
定速系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
前座座椅調整,●
後座分離式傾倒,●
座椅記憶功能,●
加熱座椅,●
後座杯架,●
後座扶手,●
數位電視,●
音響系統,MP3、DVD、CD
音響喇叭數量,6只
感應頭燈,●
前霧燈,●
後霧燈,●
